Date,Open,High,Low,Close,Adj Close,Volume
2009-11-01,25.150000,25.600000,24.879999,25.129999,24.244223,143000
2009-12-01,25.090000,26.760000,24.500000,25.490000,24.591534,134300
2010-01-01,25.660000,26.010000,24.940001,25.620001,24.718889,208000
2010-02-01,26.059999,26.459999,25.400000,25.959999,25.046928,146400
2010-03-01,25.680000,28.500000,25.600000,26.030001,25.114468,361900
2010-04-01,26.000000,26.889999,25.889999,26.400000,25.471453,1040700
2010-05-01,26.400000,26.790001,24.610001,25.309999,24.419788,276800
2010-06-01,24.760000,26.559999,24.379999,25.200001,24.313660,662100
2010-07-01,24.820000,26.219999,24.820000,25.910000,24.998688,74000
2010-08-01,26.190001,26.250000,25.000000,25.570000,24.670645,97300
2010-09-01,25.750000,26.030001,25.240000,25.790001,24.882908,155900
2010-10-01,25.799999,26.370001,25.490000,25.510000,24.612755,142800
2010-11-01,25.660000,25.750000,24.950001,25.490000,24.593458,380100
2010-12-01,25.450001,25.680000,24.490000,24.700001,23.831247,377400
2011-01-01,24.900000,25.200001,24.650000,25.170000,24.605745,414500
2011-02-01,25.200001,25.500000,24.870001,25.040001,24.478661,106500
2011-03-01,25.309999,25.629999,24.969999,25.549999,24.977224,113700
2011-04-01,25.620001,25.700001,25.160000,25.379999,24.811035,98200
2011-05-01,25.230000,25.580000,25.040001,25.340000,24.771933,135600
2011-06-01,25.500000,25.719999,25.120001,25.200001,24.635069,155400
2011-07-01,25.240000,25.780001,24.770000,25.129999,24.566639,147500
2011-08-01,25.200001,25.250000,21.520000,24.660000,24.107178,325400
2011-09-01,24.510000,24.590000,23.830000,24.030001,23.491299,185600
2011-10-01,24.230000,25.150000,23.450001,24.840000,24.283142,151600
2011-11-01,24.840000,25.150000,23.930000,24.420000,23.872557,55800
2011-12-01,24.420000,24.860001,23.840000,24.580000,24.028973,154100
2012-01-01,24.860001,26.709999,24.700001,25.309999,24.742603,204400
2012-02-01,25.420000,25.730000,25.200001,25.600000,25.026106,117500
2012-03-01,25.600000,25.870001,25.260000,25.670000,25.094534,90600
2012-04-01,25.770000,26.209999,25.459999,25.910000,25.329155,130000
2012-05-01,25.950001,26.090000,24.820000,24.990000,24.429779,195700
2012-06-01,24.870001,25.260000,22.200001,24.980000,24.420002,127000
2012-07-01,24.830000,25.090000,24.379999,24.809999,24.253815,130400
2012-08-01,24.860001,25.610001,24.750000,25.209999,24.644846,248400
2012-09-01,24.990000,25.240000,24.740000,24.830000,24.273367,215300
2012-10-01,24.950001,25.200001,24.100000,24.540001,23.989866,285300
2012-11-01,24.350000,24.969999,24.280001,24.639999,24.087624,59300
2012-12-01,24.520000,25.200001,24.280001,25.160000,24.595968,140000
2013-01-01,25.020000,25.309999,24.690001,25.110001,24.595575,283500
2013-02-01,25.170000,25.559999,25.090000,25.330000,24.811069,100300
2013-03-01,25.290001,25.780001,25.049999,25.620001,25.095129,128900
2013-04-01,25.440001,25.950001,25.080000,25.440001,24.918816,57700
2013-05-01,25.500000,26.090000,25.400000,25.940001,25.408571,721500
2013-06-01,25.850000,26.389999,25.799999,26.120001,25.584885,364100
2013-07-01,26.299999,26.520000,25.950001,26.480000,25.937508,200600
2013-08-01,26.469999,26.770000,25.850000,26.170000,25.633860,365300
2013-09-01,26.290001,27.040001,25.730000,26.639999,26.094231,160600
2013-10-01,26.760000,26.959999,26.540001,26.760000,26.211773,125800
2013-11-01,26.709999,27.190001,26.500000,26.969999,26.417469,118100
2013-12-01,27.100000,27.150000,26.389999,26.540001,25.996281,114900
2014-01-01,26.400000,26.959999,26.400000,26.879999,26.589952,142600
2014-02-01,26.990000,27.500000,26.760000,27.450001,27.153805,140300
2014-03-01,27.370001,27.549999,27.049999,27.250000,26.955961,224500
2014-04-01,27.330000,27.440001,26.600000,27.250000,26.955961,434300
2014-05-01,27.350000,27.450001,26.860001,27.280001,26.985638,215200
