Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,47.500000,51.700001,42.009998,44.500000,44.500000,734800
2017-01-01,43.029999,51.990002,41.250000,47.430000,47.430000,280600
2017-02-01,45.730000,50.480000,43.200001,45.320000,45.320000,482800
2017-03-01,44.180000,68.000000,44.180000,54.400002,54.400002,448100
2017-04-01,54.549999,62.650002,45.900002,59.110001,59.110001,139600
2017-05-01,60.320000,74.699997,51.150002,61.430000,61.430000,201700
2017-06-01,60.660000,90.000000,58.520000,68.500000,68.500000,204900
2017-07-01,65.959999,79.300003,51.400002,51.400002,51.400002,96100
2017-08-01,54.639999,66.150002,52.750000,60.060001,60.060001,101200
2017-09-01,61.470001,62.490002,45.000000,47.240002,47.240002,99100
2017-10-01,48.480000,53.240002,39.770000,40.900002,40.900002,110500
2017-11-01,38.700001,41.240002,32.080002,34.500000,34.500000,80600
2017-12-01,33.610001,36.740002,28.520000,28.900000,28.900000,66800
2018-01-01,28.600000,29.370001,21.000000,22.850000,22.850000,103000
2018-02-01,22.100000,30.459999,21.580000,25.250000,25.250000,180300
2018-03-01,25.490000,26.830000,20.200001,20.549999,20.549999,99700
2018-04-01,20.870001,23.600000,17.010000,17.230000,17.230000,136900
2018-05-01,17.799999,18.990000,15.020000,17.600000,17.600000,195100
2018-06-01,18.070000,20.000000,12.730000,13.180000,13.180000,183100
2018-07-01,13.200000,15.920000,12.540000,13.750000,13.750000,54500
2018-08-01,14.850000,17.000000,13.000000,13.000000,13.000000,72300
2018-09-01,12.740000,14.430000,11.010000,11.400000,11.400000,79600
2018-10-01,11.400000,16.000000,9.540000,14.500000,14.500000,104100
2018-11-01,14.600000,29.700001,14.600000,28.070000,28.070000,189100
2018-12-01,23.740000,39.720001,22.400000,34.200001,34.200001,78800
2019-01-01,32.000000,32.000000,17.700001,19.200001,19.200001,56500
2019-02-01,18.260000,21.129999,15.880000,16.150000,16.150000,27400
2019-03-01,15.790000,18.049999,13.650000,14.300000,14.300000,52200
2019-03-26,13.650000,14.300000,13.650000,14.300000,14.300000,13571
