Date,Open,High,Low,Close,Adj Close,Volume
2010-09-01,100.099998,101.550003,100.099998,101.250000,77.106995,84000
2010-10-01,101.470001,102.309998,100.820000,101.500000,77.346268,287000
2010-11-01,101.779999,102.750000,99.330002,100.309998,76.638168,50200
2010-12-01,99.440002,99.879997,97.150002,98.879997,75.742821,133300
2011-01-01,98.040001,99.459999,98.040001,98.690002,75.805115,221900
2011-02-01,98.250000,99.199997,97.389999,99.050003,76.317863,290900
2011-03-01,98.900002,100.000000,98.199997,98.250000,75.922821,67600
2011-04-01,98.250000,99.900002,98.040001,99.690002,77.253960,35300
2011-05-01,99.970001,101.000000,99.690002,100.750000,78.288795,53100
2011-06-01,100.949997,101.220001,99.550003,99.550003,77.588295,206800
2011-07-01,99.889999,101.839996,99.699997,101.839996,79.610870,76100
2011-08-01,101.839996,103.500000,100.570000,101.839996,79.828819,98800
2011-09-01,102.080002,103.489998,101.010002,101.220001,79.583405,67400
2011-10-01,101.540001,103.739998,99.989998,103.739998,81.809265,129600
2011-11-01,103.830002,106.000000,100.760002,101.320000,80.135719,91200
2011-12-01,101.440002,101.760002,100.199997,100.709999,79.895866,242300
2012-01-01,101.589996,104.570000,101.239998,104.480003,83.125351,141500
2012-02-01,104.650002,105.879997,103.989998,105.489998,84.134773,276100
2012-03-01,105.110001,105.610001,102.949997,103.879997,83.053513,317900
2012-04-01,104.019997,105.160004,103.500000,104.680000,83.902039,238100
2012-05-01,105.050003,105.589996,104.320000,105.410004,84.692894,333900
2012-06-01,105.400002,106.180000,104.709999,105.639999,85.091667,200100
2012-07-01,105.839996,108.430000,105.800003,108.169998,87.351913,589100
2012-08-01,108.389999,108.610001,106.379997,108.610001,87.918289,204000
2012-09-01,108.629997,109.000000,107.160004,108.580002,88.117958,934000
2012-10-01,109.010002,109.769997,108.610001,109.449997,89.044838,362000
2012-11-01,109.449997,110.019997,108.779999,109.239998,88.874046,1017400
2012-12-01,109.050003,109.720001,107.669998,108.000000,88.106865,320100
2013-01-01,107.959999,108.379997,106.680000,106.739998,87.361382,877500
2013-02-01,107.059998,107.690002,106.440002,107.150002,88.000938,256600
