,Date,BSCJ,BSCM,BSCN,BSCO,BSCP,IBCD,IBCE,IBDC,IBDD,IBDK,IBDL,IBDM,IBDN,IBDO,IBDP,IBDQ
0,2005-03-01,,,,,,,,,,,,,,,,
1,2005-04-01,,,,,,,,,,,,,,,,
2,2005-05-01,,,,,,,,,,,,,,,,
3,2005-06-01,,,,,,,,,,,,,,,,
4,2005-07-01,,,,,,,,,,,,,,,,
5,2005-08-01,,,,,,,,,,,,,,,,
6,2005-09-01,,,,,,,,,,,,,,,,
7,2005-10-01,,,,,,,,,,,,,,,,
8,2005-11-01,,,,,,,,,,,,,,,,
9,2005-12-01,,,,,,,,,,,,,,,,
10,2006-01-01,,,,,,,,,,,,,,,,
11,2006-02-01,,,,,,,,,,,,,,,,
12,2006-03-01,,,,,,,,,,,,,,,,
13,2006-04-01,,,,,,,,,,,,,,,,
14,2006-05-01,,,,,,,,,,,,,,,,
15,2006-06-01,,,,,,,,,,,,,,,,
16,2006-07-01,,,,,,,,,,,,,,,,
17,2006-08-01,,,,,,,,,,,,,,,,
18,2006-09-01,,,,,,,,,,,,,,,,
19,2006-10-01,,,,,,,,,,,,,,,,
20,2006-11-01,,,,,,,,,,,,,,,,
21,2006-12-01,,,,,,,,,,,,,,,,
22,2007-01-01,,,,,,,,,,,,,,,,
23,2007-02-01,,,,,,,,,,,,,,,,
24,2007-03-01,,,,,,,,,,,,,,,,
25,2007-04-01,,,,,,,,,,,,,,,,
26,2007-05-01,,,,,,,,,,,,,,,,
27,2007-06-01,,,,,,,,,,,,,,,,
28,2007-07-01,,,,,,,,,,,,,,,,
29,2007-08-01,,,,,,,,,,,,,,,,
30,2007-09-01,,,,,,,,,,,,,,,,
31,2007-10-01,,,,,,,,,,,,,,,,
32,2007-11-01,,,,,,,,,,,,,,,,
33,2007-12-01,,,,,,,,,,,,,,,,
34,2008-01-01,,,,,,,,,,,,,,,,
35,2008-02-01,,,,,,,,,,,,,,,,
36,2008-03-01,,,,,,,,,,,,,,,,
37,2008-04-01,,,,,,,,,,,,,,,,
38,2008-05-01,,,,,,,,,,,,,,,,
39,2008-06-01,,,,,,,,,,,,,,,,
40,2008-07-01,,,,,,,,,,,,,,,,
41,2008-08-01,,,,,,,,,,,,,,,,
42,2008-09-01,,,,,,,,,,,,,,,,
43,2008-10-01,,,,,,,,,,,,,,,,
44,2008-11-01,,,,,,,,,,,,,,,,
45,2008-12-01,,,,,,,,,,,,,,,,
46,2009-01-01,,,,,,,,,,,,,,,,
47,2009-02-01,,,,,,,,,,,,,,,,
48,2009-03-01,,,,,,,,,,,,,,,,
49,2009-04-01,,,,,,,,,,,,,,,,
50,2009-05-01,,,,,,,,,,,,,,,,
51,2009-06-01,,,,,,,,,,,,,,,,
52,2009-07-01,,,,,,,,,,,,,,,,
53,2009-08-01,,,,,,,,,,,,,,,,
54,2009-09-01,,,,,,,,,,,,,,,,
55,2009-10-01,,,,,,,,,,,,,,,,
56,2009-11-01,,,,,,,,,,,,,,,,
57,2009-12-01,,,,,,,,,,,,,,,,
58,2010-01-01,,,,,,,,,,,,,,,,
59,2010-02-01,,,,,,,,,,,,,,,,
60,2010-03-01,,,,,,,,,,,,,,,,
61,2010-04-01,,,,,,,,,,,,,,,,
62,2010-05-01,,,,,,,,,,,,,,,,
63,2010-06-01,,,,,,,,,,,,,,,,
64,2010-07-01,,,,,,,,,,,,,,,,
65,2010-08-01,,,,,,,,,,,,,,,,
66,2010-09-01,,,,,,,,,,,,,,,,
67,2010-10-01,,,,,,,,,,,,,,,,
68,2010-11-01,,,,,,,,,,,,,,,,
69,2010-12-01,,,,,,,,,,,,,,,,
70,2011-01-01,,,,,,,,,,,,,,,,
71,2011-02-01,,,,,,,,,,,,,,,,
72,2011-03-01,,,,,,,,,,,,,,,,
73,2011-04-01,,,,,,,,,,,,,,,,
74,2011-05-01,,,,,,,,,,,,,,,,
75,2011-06-01,,,,,,,,,,,,,,,,
76,2011-07-01,,,,,,,,,,,,,,,,
77,2011-08-01,,,,,,,,,,,,,,,,
78,2011-09-01,,,,,,,,,,,,,,,,
79,2011-10-01,,,,,,,,,,,,,,,,
80,2011-11-01,,,,,,,,,,,,,,,,
81,2011-12-01,,,,,,,,,,,,,,,,
82,2012-01-01,,,,,,,,,,,,,,,,
83,2012-02-01,,,,,,,,,,,,,,,,
84,2012-03-01,17.399881,,,,,,,,,,,,,,,
85,2012-04-01,17.618033999999998,,,,,,,,,,,,,,,
86,2012-05-01,17.574410999999998,,,,,,,,,,,,,,,
87,2012-06-01,17.715967000000003,,,,,,,,,,,,,,,
88,2012-07-01,18.1397,,,,,,,,,,,,,,,
89,2012-08-01,18.306735999999997,,,,,,,,,,,,,,,
90,2012-09-01,18.522054999999998,,,,,,,,,,,,,,,
91,2012-10-01,18.745081,,,,,,,,,,,,,,,
92,2012-11-01,18.75865,,,,,,,,,,,,,,,
93,2012-12-01,18.661926,,,,,,,,,,,,,,,
94,2013-01-01,18.715797,,,,,,,,,,,,,,,
95,2013-02-01,18.822592,,,,,,,,,,,,,,,
96,2013-03-01,18.896732,,,,,,,,,,,,,,,
97,2013-04-01,19.043233999999998,,,,,18.834394,16.994533999999998,,,,,,,,,
98,2013-05-01,18.759058,,,,,18.471937,16.332109,,,,,,,,,
99,2013-06-01,18.267494,,,,,17.968636,15.750994,,,,,,,,,
100,2013-07-01,18.341145,17.065634,,,,18.021864,15.74066,18.269859,25.182501000000002,,,,,,,
101,2013-08-01,18.306162,16.876976000000003,,,,17.9531,15.528416,18.215560999999997,24.785,,,,,,,
102,2013-09-01,18.548248,16.919849,,,,18.115471,15.664373999999999,18.369392,24.9625,,,,,,,
103,2013-10-01,18.780447,17.21789,,,,18.408682000000002,15.928020000000002,18.672937,25.4725,,,,,,,
104,2013-11-01,18.874741,17.200453,,,,18.345678,15.777925,18.688858,25.0825,,,,,,,
105,2013-12-01,18.616018,17.23402,,,,18.285711,15.766253,18.778593,24.8575,,,,,,,
106,2014-01-01,18.988104,17.667233,,,,18.838114,16.446722,19.345382999999998,25.365,,,,,,,
107,2014-02-01,19.078787,17.858706,,,,18.9212,16.626665,19.495182,25.747498999999998,,,,,,,
108,2014-03-01,18.984741,17.825151,,,,18.922853,16.846972,19.607956,25.74,,,,,,,
109,2014-04-01,19.087892999999998,18.04891,,,,19.187172,17.166037,19.944965,26.0525,,,,,,,
110,2014-05-01,19.304776999999998,18.319422,,,,19.568325,17.6119,20.318673999999998,26.387501,,,,,,,
111,2014-06-01,19.338419000000002,18.349018,,,,19.610828,17.712661999999998,20.503395,26.4175,,,,,,,
112,2014-07-01,19.271829999999998,18.319889,,,,19.68585,17.810137,20.552525,26.3125,,,,,,,
113,2014-08-01,19.397169,18.615789000000003,,,,19.920984,18.229657999999997,20.814264,26.625,,,,,,,
114,2014-09-01,19.285183,18.314239999999998,17.696362,17.509498999999998,,19.927454,18.089012,20.742889,26.139999,,,,,,,
115,2014-10-01,19.388739,18.464411,17.898554,17.752892000000003,,20.174059,18.379503,21.144939,26.35,,,,,,,
116,2014-11-01,19.460524,18.603621,18.004929,17.78779,,20.332758,18.656064999999998,21.327179,26.442498999999998,,,,,,,
117,2014-12-01,19.291294,18.561885999999998,17.976978,17.909582,,20.405203,18.682914999999998,21.467535,26.415001,,22.295347,,,,,
118,2015-01-01,19.77879,19.138998,18.773201,18.683466,,20.996782,19.593454,22.025709,27.26,,22.466694,,,,,
119,2015-02-01,19.630838,19.067188,18.560570000000002,18.498831,,20.992570999999998,19.514521,21.944717,26.715,,22.642498,,,,,
120,2015-03-01,19.716747,19.110216,18.563745,18.404058,,21.193184,19.715345000000003,22.308725,26.8025,23.236935,23.112406,22.81772,22.500151000000002,22.447725,22.083921,22.198261
121,2015-04-01,19.718672,19.107502,18.432135,18.2908,,21.281734,19.850026999999997,22.313753,26.695,23.220739000000002,23.48674,22.831352,22.547457,22.405233,22.201569,22.028265
122,2015-05-01,19.706547,19.002731,18.34346,18.159359,,21.37738,19.932014000000002,22.448601,26.627501000000002,23.195288,23.474332999999998,22.906347,22.511414000000002,22.212898000000003,21.946327,21.635310999999998
123,2015-06-01,19.607834,18.679523,18.058084,17.735773000000002,,21.341479999999997,19.638507999999998,22.326235,25.9625,23.060663,23.218270999999998,22.51737,22.120956,21.765472,21.541377999999998,21.173101000000003
124,2015-07-01,19.695234,18.721325,18.128937,17.852007,,21.446064,19.802456,22.517641,25.877501000000002,23.237876999999997,23.40312,22.557522,22.259464,21.873955,21.633915,21.454309
125,2015-08-01,19.645853,18.595831,18.043709,17.774608999999998,,21.601107,19.958095999999998,22.602276,103.32,23.099386,23.250645000000002,22.405455,22.074272,21.838898,21.513042000000002,21.314953
126,2015-09-01,19.771976000000002,18.785898,18.2882,17.965639000000003,,21.836555,20.317953,23.048403,26.2075,23.305201,23.495120999999997,22.679489,22.293255,22.066668,21.786587,21.595160999999997
127,2015-10-01,19.76754,18.903187,18.285989999999998,18.151644,18.344866,21.945992,20.52861,23.017333999999998,26.057501000000002,23.250357,23.496451999999998,22.679068,22.412544,22.195908,21.845724,21.721370999999998
128,2015-11-01,19.74309,18.874054,18.248764,18.157417000000002,18.127871,22.052933,20.757463,23.162937,26.16,23.421438000000002,23.468420000000002,22.718607000000002,22.593094,22.34433,21.905342,21.731443
129,2015-12-01,19.605682,18.623307999999998,18.067277999999998,17.823729999999998,17.781723,22.030497,20.613478,23.158507999999998,25.967501000000002,23.104851,23.282567999999998,22.462641,22.333603,22.037304000000002,21.738678,21.623039000000002
130,2016-01-01,19.740685,18.855631,18.294058,18.146805,18.117903,22.405323000000003,21.225170000000002,23.595581,25.9275,23.284597,23.563679,22.695435,22.482191,22.203526,21.855434,21.791981
131,2016-02-01,19.693594,18.901754,18.467419,18.201303,18.281868,22.448929,21.460337,23.788809,25.93,23.265806,23.544957999999998,22.66761,22.501547,22.441679,22.092102,22.063931
132,2016-03-01,20.015163,19.459286,18.940657,18.779457,18.747541000000002,22.942774,22.076624,24.2003,26.442498999999998,23.592516,23.959568,23.226128,23.141121,22.992279,22.632368,22.601109
133,2016-04-01,20.114867999999998,19.662658999999998,19.141863,18.937853,18.98023,23.243952,22.424772,24.308569,26.807501000000002,23.653725,24.053383,23.346951999999998,23.28899,23.157553,22.933645000000002,22.801123
134,2016-05-01,20.120651000000002,19.558418,19.167997,18.985748,18.952522000000002,23.252321,22.541574,24.440235,26.66,23.634888,23.950186,23.251286,23.219879000000002,23.118406,22.971115,22.859156
135,2016-06-01,20.313023,19.998185999999997,19.541925,19.425867,19.424503,23.710354000000002,23.181297,24.938591,27.02,23.881977,24.28647,23.729862,23.745298000000002,23.728214,23.480492,23.432367000000003
136,2016-07-01,20.385458,20.193607,19.731573,19.669085,19.654312,23.879345,23.531487,25.055994000000002,27.43,23.914471,24.433011999999998,23.884210999999997,23.847970999999998,23.837971,23.692518,23.719915
137,2016-08-01,20.370304,20.16316,19.777148999999998,19.626347,19.6474,23.880634,23.4443,25.139118,27.25,23.869024,24.334129,23.785057000000002,23.858349,23.852928,23.672613000000002,23.647880999999998
138,2016-09-01,20.381664,20.233089,19.784554999999997,19.681435,19.628801,23.785347,23.533272,25.098620999999998,27.209999,23.822437,24.323452,23.756937,23.895679,23.840874,23.644924,23.546751
139,2016-10-01,20.368084,20.109894,19.57534,19.445326,19.370287,23.833078,23.295,25.04818,27.0,23.822437,24.247829,23.683598,23.708996,23.602432,23.404964,23.261720999999998
140,2016-11-01,20.236164000000002,19.68339,19.101368,18.906426999999997,18.721857,23.517366,22.718025,24.874765,26.27,23.646788,23.970188,23.242779000000002,23.184614,22.972202,22.689056,22.551035
141,2016-12-01,20.226366,19.674944,19.078773,18.922729,18.696291,23.591675,22.721766,24.871218,26.23,23.669271,23.93923,23.300259,23.247967000000003,23.047878,22.712048,22.502663000000002
142,2017-01-01,20.367367,19.874353,19.376247,19.154598,18.903879,23.716957,22.895661999999998,25.06793,26.35,23.926888,24.202749,23.462242,23.401663,23.296215,22.952414,22.772736
143,2017-02-01,20.386561999999998,19.94051,19.470217,19.294823,19.067522,23.7458,23.018398,25.077492000000003,26.450001,23.946035000000002,24.221785999999998,23.528489999999998,23.486385000000002,23.389847,23.110836,22.991077
144,2017-03-01,20.409666,19.939718,19.491184,19.281168,19.056739999999998,23.715206,23.052193,25.064865,26.41,23.955652,24.238029,23.530529,23.495081,23.38352,23.127155,22.987038000000002
145,2017-04-01,20.425055,20.194912,19.709166,19.449198000000003,19.281189,23.77393,23.171663,25.139599,26.639999,24.005557999999997,24.351656,23.704363,23.711561,23.630857000000002,23.36972,23.247541000000002
146,2017-05-01,20.502155,20.320868,19.895955999999998,19.706692,19.50868,23.849298,23.414219,25.251151999999998,26.799999,24.071957,24.454193,23.897011,23.928082,23.860598,23.603231,23.492682000000002
147,2017-06-01,20.519592000000003,20.311504,19.889612,19.677912,19.493963,23.838722,23.381304,25.257048,26.68,24.11055,24.461971,23.851503,23.907551,23.844954,23.613119,23.475342
148,2017-07-01,20.580481,20.489948000000002,20.094772,19.891679999999997,19.688803,23.923918,23.567320000000002,25.407459,26.85,24.1675,24.583902,24.006242999999998,24.086433,24.066656,23.800041,23.708824
149,2017-08-01,20.599878,20.568653,20.17226,20.054363000000002,19.851419,24.029779,23.649931,25.482056,26.92,24.21586,24.667784,24.094632999999998,24.208907999999997,24.193499,24.035326,23.930456
150,2017-09-01,20.600834,20.523678,20.139882999999998,19.951891,19.767035999999997,23.979336,23.56846,25.429832,26.74,24.253637,24.644712,24.058216,24.167917000000003,24.176504,23.918938,23.826635
151,2017-10-01,20.611469,20.544641,20.182764000000002,20.057392,19.839195,24.016195,23.601807,25.415123,26.690001000000002,24.230362,24.650391,24.059006,24.164824,24.187775,24.010849,23.921201999999997
152,2017-11-01,20.564739000000003,20.452187,20.064869,19.982862,19.747492,23.926498000000002,23.384968,25.401423,26.49,24.204037,24.588385,23.993334,24.052246,24.026785,23.95076,23.816441
153,2017-12-01,20.535419,20.415385999999998,19.999275,20.019102,19.832445,23.942905,23.437476999999998,25.376993,26.459999,24.193243,24.534882999999997,23.965071,24.062462,24.065607,23.985857,23.920141
154,2018-01-01,20.604576,20.355959,19.952919,19.867449,19.666565,23.882238,23.160675,25.352510000000002,26.200001,24.234079,24.542393,23.922207,23.946274,23.945057000000002,23.832935,23.698528
155,2018-02-01,20.53615,20.152494,19.745024,19.616943,19.271694,23.823560999999998,23.005820999999997,25.284281,25.870001000000002,24.156032999999997,24.415991,23.747657999999998,23.685152,23.684677,23.515547,23.296170999999998
156,2018-03-01,20.541945000000002,20.170534,19.763954000000002,19.580631,19.344158,23.879303,23.067551,25.297831,25.809998999999998,24.202818,24.42063,23.776457,23.759199,23.664713,23.519533,23.370173
157,2018-04-01,20.588942000000003,20.102373,19.668617,19.435194,19.176556,23.878353,22.936317000000003,25.343752,25.66,24.243942,24.418606,23.739411999999998,23.648483,23.569544,23.302792,23.089188
158,2018-05-01,20.680309,20.225006,19.734592000000003,19.618157999999998,19.273026,24.003075,22.979738,25.427039999999998,25.799999,24.323353,24.532919,23.858273999999998,23.800017999999998,23.716832999999998,23.482359,23.251863
159,2018-06-01,20.653847,20.181324,19.702526000000002,19.532101,19.260618,23.951057000000002,23.012926,25.392754,25.65,24.334215,24.530106,23.830059,23.757296,23.649843,23.39712,23.238535
160,2018-07-01,20.747372,20.256639,19.801159,19.64316,19.423507999999998,24.057356,23.105894,25.555838,25.639999,24.398107999999997,24.569271,23.873983,23.824574,23.743257999999997,23.521482000000002,23.384398
161,2018-08-01,20.799744,20.368584,19.925767999999998,19.769531,19.52265,24.086095999999998,23.277721,25.60235,25.799999,24.461218,24.667606,24.005585,23.979557,23.877482999999998,23.712238,23.557524
162,2018-09-01,20.848226999999998,20.346058,19.896391,19.740208,19.446209,24.163197,23.155043,25.608273999999998,25.65,24.484949,24.674606,23.980162,23.918837,23.857060999999998,23.622423,23.423613
163,2018-10-01,20.866997,20.269985000000002,19.812445,19.623898999999998,19.244047,24.161276,23.110262,25.633907,25.540001,24.528433,24.677483,23.959267,23.859451,23.709225,23.462744,23.26292
164,2018-11-01,20.897714999999998,20.252113,19.796665,19.563564000000003,19.223057,24.153275,23.124855,25.691315,25.48,24.56212,24.708063,23.963057,23.854232999999997,23.7521,23.44042,23.242548
165,2018-12-01,20.932470000000002,20.438364,19.993707999999998,19.77627,19.473433,24.232676,23.339731,25.741945,25.6,24.618685,24.769497,24.140337,23.935270000000003,23.936092000000002,23.62998,23.322329999999997
166,2019-01-01,21.008131,20.785828,20.399792,20.272732,20.074575,24.420082,23.801057999999998,25.938122,26.0,24.77507,25.067083,24.464136,24.517201999999997,24.521223000000003,24.33721,24.276213000000002
167,2019-02-01,21.016064,20.875999,20.491024,20.3591,20.109151999999998,24.430048,23.771194,25.948079999999997,26.030001000000002,24.76511,25.047171,24.464136,24.537104,24.536142,24.33721,24.276213000000002
168,2019-03-01,21.059998999999998,21.09,20.780001000000002,20.709999,20.48,24.498951,24.076445,26.027941000000002,26.33,24.803019,25.17284,24.646706,24.818455,24.912159,24.757986,24.726879
