,ETF,RiskinessR
0,CARZ,0.9999999999969313
1,CROP,0.0005898991285497661
2,DZK,0.2001516610194995
3,EDOM,0.14798239578300265
4,EFO,0.10438409978126843
5,EFU,0.999999999999983
6,FDTS,0.03813808881015435
7,FID,0.9308725193217658
8,FLM,0.0443347457717812
9,FPXI,0.006537162154786501
10,FTAG,3.906536352110165e-06
11,FTRI,0.0
12,GDXS,8.177237778016157e-207
13,GSD,0.0007116868036069143
14,HGI,0.002537086481944727
15,HGSD,0.023376097606512717
16,HSCZ,0.060142535084328125
17,IDMO,0.06570446358780044
18,IPO,0.1998858054051981
19,ISZE,0.00014469365463444018
20,PAGG,0.04969122189483397
21,PEX,0.027597827498346758
22,ROGS,9.856693562277076e-05
23,SCID,0.2047606083605713
24,SMCP,0.9999999999996521
25,SOIL,0.24633217880698816
26,TLDH,0.0017369417034075617
27,YLCO,0.0
