,ETF,RiskinessR
0,CHIM,0.024281718443109463
1,COPX,0.04464802230033094
2,CROP,0.028649526235754032
3,CUT,0.38070226095784027
4,DUST,2.6135754023052885e-262
5,FLM,0.230884643275884
6,FMAT,0.008367453925943553
7,FTAG,8.967497920268296e-05
8,FXZ,0.014878293888006362
9,GDX,0.04855323636844473
10,GDXJ,0.06370490504154923
11,GDXS,8.177237778016157e-207
12,GDXX,2.509963241365536e-63
13,GNR,0.00033538761386938976
14,GOEX,0.05376748564010123
15,GRES,0.0
16,GUNR,0.0
17,HAP,5.531503220550037e-05
18,HOML,1.2664972405367964e-130
19,IGE,0.9555861385677336
20,ITB,0.1673630214784106
21,IYM,0.005232580270186589
22,JDST,6.708073650846964e-263
23,JNUG,7.42613673575176e-172
24,LIT,0.004875455923190917
25,MOO,1.2103205986329135e-05
26,MXI,0.0005785765404601886
27,NAIL,5.176421773263747e-83
28,NUGT,0.4648042624963031
29,PAGG,0.4231060062040766
30,PICK,0.004693333232907166
31,PKB,0.999999999998785
32,PSAU,0.050848032919147246
33,PSCM,0.0335090319744178
34,PYZ,0.3227208758596418
35,REMX,0.21228456564457157
36,RING,0.07042938496271485
37,RTM,0.0026268676975514395
38,SBM,0.999999999999921
39,SGDJ,0.15020962722862785
40,SGDM,0.1073599768789288
41,SIL,0.11770311173717174
42,SILJ,0.10653898803394433
43,SLVP,0.08098120333433648
44,SLX,0.005899190117377389
45,SMN,0.9999999999999784
46,SOIL,0.586624043797553
47,UYM,0.08410584345222093
48,VAW,0.00682400838687453
49,VEGI,0.0004322739355913825
50,XHB,0.9999999999999098
51,XME,0.009308895893318177
