Date,Open,High,Low,Close,Adj Close,Volume
2013-10-01,25.900000,29.100000,25.270000,25.590000,22.182184,329900
2013-11-01,25.760000,26.290001,25.459999,25.980000,22.520250,582500
2013-12-01,26.080000,26.170000,25.299999,26.049999,22.580927,426100
2014-01-01,26.080000,26.080000,24.480000,24.680000,21.490757,479400
2014-02-01,24.730000,25.740000,24.120001,25.600000,22.291868,231800
2014-03-01,25.559999,26.090000,25.389999,26.040001,22.675009,243800
2014-04-01,26.100000,26.910000,25.850000,26.760000,23.436956,352900
2014-05-01,26.820000,27.320000,26.549999,27.309999,23.918655,565700
2014-06-01,27.350000,27.700001,26.959999,27.080000,23.717218,2312700
2014-07-01,27.170000,27.639999,26.170000,26.180000,23.078945,2498800
2014-08-01,26.120001,27.440001,26.100000,27.389999,24.145626,1322500
2014-09-01,27.500000,27.740000,27.180000,27.370001,24.127998,2448400
2014-10-01,27.379999,28.469999,26.510000,28.320000,25.105141,3043200
2014-11-01,28.400000,29.940001,28.330000,29.870001,26.479181,1175500
2014-12-01,29.840000,30.120001,28.740000,29.459999,26.115725,2350500
2015-01-01,29.580000,30.440001,28.990000,29.080000,25.933313,2883000
2015-02-01,29.230000,30.379999,28.900000,30.340000,27.056971,1935200
2015-03-01,30.420000,30.420000,29.010000,29.559999,26.361374,4137300
2015-04-01,29.480000,30.100000,29.150000,29.219999,26.297064,1012500
2015-05-01,29.379999,30.090000,29.250000,29.570000,26.612055,949400
2015-06-01,29.650000,29.780001,28.770000,28.879999,25.991079,1567700
2015-07-01,29.080000,30.430000,28.930000,30.309999,27.445463,2212400
2015-08-01,30.340000,30.879999,24.660000,28.600000,25.897072,3967700
2015-09-01,28.100000,29.270000,27.809999,28.379999,25.697859,3873800
2015-10-01,28.389999,30.709999,28.070000,30.040001,27.413160,4826400
2015-11-01,30.139999,30.209999,28.740000,29.709999,27.112015,2108500
2015-12-01,29.760000,30.770000,29.469999,30.280001,27.632172,2130400
2016-01-01,29.790001,30.309999,28.250000,30.309999,27.835938,2028000
2016-02-01,30.219999,30.959999,29.129999,30.440001,27.955324,1695900
2016-03-01,30.680000,31.840000,30.500000,31.670000,29.084925,2468100
2016-04-01,31.559999,32.070000,30.809999,31.280001,28.900145,2607200
2016-05-01,31.320000,32.290001,30.920000,31.570000,29.168077,1785700
2016-06-01,31.570000,32.970001,31.450001,32.970001,30.461567,1663000
2016-07-01,32.990002,33.630001,32.330002,32.799999,30.488392,1851800
2016-08-01,32.840000,33.139999,32.470001,32.650002,30.348963,1557300
2016-09-01,32.610001,32.930000,31.500000,31.920000,29.670408,1008300
2016-10-01,31.930000,31.930000,31.120001,31.660000,29.609503,1302500
2016-11-01,31.670000,31.730000,30.209999,30.430000,28.459167,3224000
2016-12-01,30.360001,31.750000,30.100000,31.200001,29.179296,1753400
2017-01-01,31.330000,31.980000,30.969999,31.629999,29.780296,1596700
2017-02-01,31.570000,33.230000,31.410000,33.099998,31.164328,2259200
2017-03-01,33.189999,33.369999,32.790001,32.869999,30.947784,1137800
2017-04-01,32.919998,33.580002,32.750000,33.240002,31.449144,1187200
2017-05-01,33.279999,34.130001,32.790001,34.070000,32.234428,1220500
2017-06-01,34.099998,34.490002,32.830002,33.029999,31.250454,1307300
2017-07-01,33.060001,33.549999,32.360001,33.230000,31.670588,1363500
2017-08-01,33.299999,33.520000,32.549999,32.779999,31.241699,1218800
2017-09-01,32.860001,33.410000,32.230000,32.410000,30.889065,635100
2017-10-01,32.400002,32.900002,31.680000,31.959999,30.655127,2305000
2017-11-01,32.040001,33.820000,31.580000,33.770000,32.391232,1492100
2017-12-01,33.700001,34.500000,33.400002,34.310001,32.909180,2282700
2018-01-01,34.330002,35.470001,33.970001,34.869999,33.649834,1957500
2018-02-01,34.709999,34.869999,31.709999,32.189999,31.063614,2981500
2018-03-01,32.150002,33.150002,30.629999,31.719999,30.610058,1172600
2018-04-01,31.639999,32.259998,30.100000,30.480000,29.625322,1503800
2018-05-01,30.350000,30.590000,29.500000,30.090000,29.246260,1355200
2018-06-01,30.110001,31.500000,30.030001,31.209999,30.334854,1252200
2018-07-01,31.100000,32.450001,30.879999,32.369999,31.695211,2342100
2018-08-01,32.279999,33.340000,32.000000,32.560001,31.881254,1799600
2018-09-01,32.439999,33.389999,32.369999,32.540001,31.861671,1094700
2018-10-01,32.599998,33.529999,31.340000,33.220001,32.746326,5990300
2018-11-01,33.209999,34.349998,32.700001,33.799999,33.318054,6876700
2018-12-01,33.880001,33.950001,29.040001,30.500000,30.065109,7959200
2019-01-01,30.120001,32.220001,30.090000,32.169998,31.958250,3043300
2019-02-01,32.160000,33.060001,31.920000,32.830002,32.613911,2412500
2019-03-01,32.939999,33.869999,32.380001,33.860001,33.637131,1706400
