Date,Open,High,Low,Close,Adj Close,Volume
2015-08-01,34.680000,34.700001,0.005000,0.005000,0.004353,12900
2015-09-01,32.660000,36.200001,31.559999,32.099998,27.943090,7400
2015-10-01,32.099998,34.860001,32.099998,34.349998,29.901712,10500
2015-11-01,34.189999,37.080002,32.735001,33.291000,28.979856,443200
2015-12-01,33.291000,33.810001,31.820000,32.250000,28.073656,169600
2016-01-01,31.620001,31.700001,28.750000,30.709999,26.849754,83000
2016-02-01,30.820000,31.049999,29.091000,30.270000,26.473164,271600
2016-03-01,30.540001,33.650002,30.540001,32.689999,28.624376,157000
2016-04-01,32.270000,33.570000,31.650999,32.790001,28.711933,110600
2016-05-01,33.139999,33.189999,31.497000,32.290001,28.427317,52800
2016-06-01,32.070000,33.540001,28.812000,30.849001,27.356283,212400
2016-07-01,31.040001,32.344002,29.889999,32.138000,28.604115,227900
2016-08-01,31.830000,32.810001,31.736000,31.983999,28.479668,223800
2016-09-01,32.175999,33.029999,31.290001,32.139999,28.690716,213300
2016-10-01,32.020000,32.119999,30.916000,31.259001,28.103628,118500
2016-11-01,31.209999,31.290001,30.254999,30.669001,27.643391,127400
2016-12-01,30.680000,31.910000,30.530001,31.389999,28.341764,139800
2017-01-01,31.600000,32.630001,31.520000,32.259998,29.223473,75100
2017-02-01,32.270000,32.770000,32.123001,32.330002,29.296883,105400
2017-03-01,32.491001,33.540001,32.284000,33.419998,30.293913,63600
2017-04-01,33.340000,33.790001,32.709999,33.529999,30.420727,177800
2017-05-01,33.849998,35.169998,33.680000,34.740002,31.695938,116900
2017-06-01,34.979000,35.290001,34.000000,34.324001,31.469139,105200
2017-07-01,34.480000,35.650002,34.180000,35.599998,32.930649,39100
2017-08-01,35.880001,36.279999,35.119999,35.500000,32.838165,77400
2017-09-01,35.584000,35.900002,35.270000,35.700001,33.073502,97400
2017-10-01,35.521999,36.049000,35.299999,35.810001,33.423717,105700
2017-11-01,35.909000,36.049999,35.261002,35.919998,33.600422,92300
2017-12-01,35.869999,36.209999,35.630001,36.209999,33.899326,195200
2018-01-01,36.283001,38.000000,36.282001,37.439999,35.191444,98500
2018-02-01,37.419998,37.540001,34.262001,35.813999,33.669430,142200
2018-03-01,35.689999,36.200001,34.799999,35.419998,33.320637,48000
2018-04-01,35.110001,37.240002,34.419998,35.742001,33.724087,110500
2018-05-01,35.580002,36.919998,33.779999,34.639999,32.907394,135700
2018-06-01,34.700001,35.096001,33.680000,34.200001,32.596348,116100
2018-07-01,33.580002,35.040001,33.580002,35.040001,33.682781,73900
2018-08-01,34.700001,34.700001,33.040001,33.630001,32.450737,76700
2018-09-01,33.369999,34.023998,32.769001,33.529999,32.415794,25000
2018-10-01,33.439999,33.457001,30.688999,31.257999,30.379906,90600
2018-11-01,31.670000,32.320000,30.900999,31.400000,30.587111,99300
2018-12-01,31.650000,31.780001,29.020000,29.889999,29.217167,491800
2019-01-01,29.670000,31.931999,29.639999,31.931999,31.370106,460800
2019-02-01,31.760000,32.650002,31.325001,32.558998,31.993309,145900
2019-03-01,32.669998,33.349998,31.940001,32.529999,32.023464,175200
