Date,Open,High,Low,Close,Adj Close,Volume
2005-03-01,null,null,null,null,null,null
2005-04-01,63.369999,63.930000,62.009998,62.919998,44.803215,125200
2005-05-01,62.880001,64.400002,62.500000,64.400002,45.857082,121200
2005-06-01,64.070000,64.570000,63.150002,63.320000,45.088047,249800
2005-07-01,63.000000,64.989998,62.639999,64.410004,46.106640,158600
2005-08-01,64.269997,65.669998,63.250000,64.089996,45.877590,415800
2005-09-01,64.669998,66.000000,64.360001,64.930000,46.478886,132500
2005-10-01,65.199997,65.199997,62.009998,63.889999,45.959137,87400
2005-11-01,63.650002,66.150002,63.570000,64.980003,46.743225,78900
2005-12-01,65.410004,66.349998,64.889999,65.010002,46.764801,119800
2006-01-01,65.540001,67.519997,65.290001,66.540001,48.102726,107300
2006-02-01,66.699997,66.980003,65.120003,66.339996,47.958122,206500
2006-03-01,66.669998,68.220001,66.250000,67.160004,48.550926,82900
2006-04-01,67.500000,69.070000,66.830002,69.070000,50.196800,142600
2006-05-01,69.110001,70.010002,66.250000,66.949997,48.656086,117200
2006-06-01,66.849998,67.970001,64.470001,66.980003,48.677898,86000
2006-07-01,67.230003,69.589996,65.059998,69.370003,50.750141,203600
2006-08-01,69.120003,71.720001,68.680000,71.300003,52.162106,438900
2006-09-01,71.300003,71.889999,69.949997,71.620003,52.396202,387200
2006-10-01,71.650002,74.440002,71.190002,73.470001,54.070446,696500
2006-11-01,73.720001,76.669998,72.000000,75.070000,55.247974,342100
2006-12-01,75.000000,76.489998,74.239998,76.080002,55.991291,254100
2007-01-01,76.589996,76.910004,75.050003,76.459999,56.511684,356800
2007-02-01,76.790001,77.120003,66.269997,76.000000,56.171715,427400
2007-03-01,72.800003,75.290001,71.000000,74.589996,55.129566,390900
2007-04-01,74.589996,78.459999,72.800003,78.019997,58.018028,152400
2007-05-01,78.029999,80.000000,77.000000,79.849998,59.378895,165600
2007-06-01,80.050003,80.500000,77.809998,79.080002,58.806309,352600
2007-07-01,79.449997,82.199997,76.779999,77.330002,57.841995,356300
2007-08-01,77.699997,80.120003,69.949997,78.199997,58.492725,359900
2007-09-01,78.449997,83.000000,77.160004,81.300003,60.811497,331500
2007-10-01,81.400002,83.199997,79.370003,82.769997,62.234947,258800
2007-11-01,81.739998,81.739998,75.779999,80.019997,60.167206,291500
2007-12-01,80.040001,82.870003,77.629997,78.849998,59.287476,239400
2008-01-01,79.150002,79.300003,62.500000,73.440002,55.482674,537000
2008-02-01,73.620003,75.629997,68.080002,71.250000,53.828156,381700
2008-03-01,72.489998,74.209999,67.660004,70.900002,53.563717,310800
2008-04-01,72.949997,74.959999,70.000000,74.010002,56.314621,226500
2008-05-01,75.000000,75.980003,71.989998,73.349998,55.812397,210200
2008-06-01,72.160004,73.110001,65.389999,66.300003,50.448025,341800
2008-07-01,65.110001,67.889999,62.310001,66.500000,51.095222,387000
2008-08-01,66.309998,66.930000,63.900002,65.099998,50.019539,299000
2008-09-01,65.139999,65.139999,50.110001,59.980000,46.085587,552100
2008-10-01,59.349998,61.790001,42.000000,50.500000,39.035450,743100
2008-11-01,51.560001,54.439999,38.560001,46.680000,36.082661,454000
2008-12-01,45.980000,51.040001,41.650002,47.720001,36.886562,439400
2009-01-01,47.970001,49.110001,40.480000,42.290001,32.982029,248400
2009-02-01,42.439999,44.990002,38.380001,38.660000,30.150982,162100
2009-03-01,37.349998,44.000000,34.029999,41.450001,32.326908,394300
2009-04-01,40.750000,44.580002,39.900002,43.939999,34.541580,180400
2009-05-01,44.389999,51.000000,43.480000,47.259998,37.151459,222300
2009-06-01,48.250000,49.540001,44.889999,47.389999,37.253658,188600
2009-07-01,47.830002,51.759998,44.580002,51.480000,40.889107,159200
