Date,Open,High,Low,Close,Adj Close,Volume
2010-07-01,20.370001,21.070000,20.170000,20.690001,19.184341,288200
2010-08-01,21.090000,22.389999,20.719999,20.940001,19.416145,433000
2010-09-01,21.309999,23.430000,21.309999,23.120001,21.437502,635300
2010-10-01,23.780001,26.930000,23.780001,24.450001,22.670717,793000
2010-11-01,24.809999,26.059999,20.520000,21.370001,19.814854,862900
2010-12-01,22.480000,23.010000,19.520000,22.040001,20.436098,848000
2011-01-01,22.430000,22.700001,18.620001,18.870001,17.515715,680400
2011-02-01,18.530001,18.980000,16.830000,17.450001,16.197630,968500
2011-03-01,18.049999,19.530001,17.610001,19.379999,17.989115,521900
2011-04-01,19.910000,21.200001,19.870001,20.389999,18.926622,595200
2011-05-01,20.170000,20.170000,17.889999,19.049999,17.682798,566100
2011-06-01,19.219999,19.650000,17.719999,19.639999,18.230453,582700
2011-07-01,19.520000,20.290001,19.250000,19.400000,18.007679,207400
2011-08-01,19.500000,19.559999,15.130000,16.629999,15.436477,879000
2011-09-01,16.629999,17.250000,14.600000,14.640000,13.589299,360800
2011-10-01,14.650000,16.049999,13.950000,15.660000,14.536096,191700
2011-11-01,15.210000,15.730000,12.380000,13.300000,12.345470,158200
2011-12-01,13.250000,13.630000,11.090000,11.180000,10.377622,503000
2012-01-01,11.540000,14.440000,11.540000,14.320000,13.477383,282500
2012-02-01,14.760000,16.990000,14.680000,15.750000,14.823237,383300
2012-03-01,15.790000,15.990000,13.880000,14.490000,13.637380,542600
2012-04-01,14.620000,14.870000,13.580000,13.730000,12.922099,137300
2012-05-01,13.810000,13.810000,11.600000,11.850000,11.152721,257100
2012-06-01,11.760000,12.870000,11.660000,12.870000,12.112701,255600
2012-07-01,13.060000,13.440000,12.120000,12.300000,11.576243,152000
2012-08-01,12.440000,12.930000,12.070000,12.250000,11.529185,242500
2012-09-01,12.240000,14.490000,12.150000,14.450000,13.599733,197700
2012-10-01,14.730000,15.410000,13.820000,14.000000,13.176211,196300
2012-11-01,14.060000,14.630000,13.670000,14.590000,13.731497,99600
2012-12-01,14.830000,15.320000,14.450000,14.840000,13.966786,228100
2013-01-01,15.360000,15.460000,14.400000,14.900000,14.121642,160900
2013-02-01,14.880000,14.930000,12.800000,12.840000,12.169254,98100
2013-03-01,12.730000,13.420000,12.060000,12.400000,11.752239,156400
2013-04-01,12.620000,13.270000,12.100000,13.270000,12.576793,123800
2013-05-01,13.200000,13.700000,12.250000,12.250000,11.610075,156300
2013-06-01,12.290000,12.400000,10.290000,10.790000,10.226344,114300
2013-07-01,11.040000,11.120000,9.640000,9.730000,9.221718,197900
2013-08-01,9.540000,9.840000,8.000000,8.480000,8.037014,478000
2013-09-01,8.290000,10.280000,8.280000,9.580000,9.079554,318900
2013-10-01,9.780000,10.990000,9.780000,10.660000,10.103135,406700
2013-11-01,10.850000,11.200000,10.260000,10.990000,10.415896,309500
2013-12-01,11.060000,11.720000,10.870000,11.650000,11.041417,605600
2014-01-01,11.390000,11.450000,10.060000,10.490000,10.134599,149600
2014-02-01,10.450000,11.060000,10.280000,11.050000,10.675627,92700
2014-03-01,10.880000,12.750000,10.850000,12.690000,12.260063,211700
2014-04-01,12.710000,13.510000,12.650000,13.000000,12.559561,247800
2014-05-01,13.000000,17.260000,12.980000,16.170000,15.622159,1129800
2014-06-01,16.799999,18.299999,16.330000,17.410000,16.820148,1336800
2014-07-01,17.549999,17.969999,15.500000,15.930000,15.390291,782800
2014-08-01,15.940000,16.600000,15.500000,16.250000,15.699450,325400
2014-09-01,16.719999,17.430000,15.400000,15.720000,15.187407,453200
2014-10-01,15.700000,17.070000,15.300000,16.959999,16.385395,286600
2014-11-01,17.150000,17.959999,17.010000,17.670000,17.071339,247100
2014-12-01,17.639999,18.379999,15.340000,17.000000,16.424040,301600
2015-01-01,17.350000,18.709999,16.559999,18.049999,17.522749,379800
2015-02-01,18.280001,18.559999,16.920000,18.469999,17.930479,291400
2015-03-01,18.629999,18.860001,16.530001,17.549999,17.037355,568300
2015-04-01,17.910000,18.920000,16.139999,16.420000,15.940364,540800
2015-05-01,16.360001,17.139999,15.660000,16.620001,16.134521,343200
2015-06-01,16.459999,16.680000,14.190000,15.450000,14.998696,245100
2015-07-01,15.780000,16.860001,15.640000,16.860001,16.367512,250500
2015-08-01,16.990000,17.830000,12.550000,14.420000,13.998783,147700
2015-09-01,14.010000,14.690000,13.300000,14.660000,14.231773,126200
2015-10-01,14.630000,15.970000,14.630000,15.200000,14.756000,50100
2015-11-01,15.320000,15.360000,14.400000,15.300000,14.853080,53400
2015-12-01,15.390000,15.790000,14.270000,15.690000,15.231685,107100
2016-01-01,15.340000,15.990000,12.820000,13.720000,13.400511,66300
2016-02-01,13.720000,13.830000,11.390000,11.750000,11.476385,47900
2016-03-01,12.420000,13.670000,12.420000,13.670000,13.351675,116500
2016-04-01,13.690000,14.270000,12.970000,13.840000,13.517716,267800
2016-05-01,13.760000,13.850000,13.000000,13.750000,13.429811,35900
2016-06-01,13.750000,14.650000,13.540000,14.650000,14.308853,71400
2016-07-01,14.750000,15.810000,14.750000,15.660000,15.295334,99200
2016-08-01,15.660000,16.150000,15.190000,16.139999,15.764156,70400
2016-09-01,15.870000,17.059999,15.720000,16.340000,15.959499,107500
2016-10-01,16.780001,17.170000,16.280001,16.629999,16.242746,45100
