Date,Open,High,Low,Close,Adj Close,Volume
2009-12-01,49062.500000,57375.000000,47937.500000,52687.500000,52177.355469,0
2010-01-01,51062.500000,65737.500000,40725.000000,64775.000000,64147.820313,0
2010-02-01,66475.000000,68225.000000,50175.000000,50387.500000,49899.628906,0
2010-03-01,51187.500000,52000.000000,42750.000000,43600.000000,43177.843750,0
2010-04-01,42350.000000,43450.000000,37100.000000,40175.000000,39786.007813,0
2010-05-01,40337.500000,59650.000000,39212.500000,46187.500000,45740.289063,0
2010-06-01,49525.000000,52537.500000,34750.000000,43050.000000,42633.171875,0
2010-07-01,43162.500000,45550.000000,33850.000000,35137.500000,34797.285156,0
2010-08-01,34375.000000,38187.500000,30800.000000,35887.500000,35540.019531,0
2010-09-01,34725.000000,34725.000000,24725.000000,24950.000000,24708.421875,0
2010-10-01,24212.500000,25037.500000,19950.000000,21212.500000,21007.113281,0
2010-11-01,20512.500000,23750.000000,18487.500000,23462.500000,23235.328125,500
2010-12-01,21975.000000,24862.500000,20812.500000,23012.500000,22789.685547,0
2011-01-01,22050.000000,22100.000000,18750.000000,20325.000000,20128.203125,0
2011-02-01,19937.500000,21612.500000,18262.500000,19825.000000,19633.046875,0
2011-03-01,19412.500000,22500.000000,17737.500000,17812.500000,17640.031250,0
2011-04-01,17462.500000,17462.500000,15012.500000,15550.000000,15399.438477,0
2011-05-01,15437.500000,19912.500000,15200.000000,16675.000000,16513.546875,100
2011-06-01,17125.000000,22700.000000,16962.500000,17600.000000,17429.589844,500
2011-07-01,18012.500000,18962.500000,16187.500000,17000.000000,16835.400391,100
2011-08-01,16362.500000,28225.000000,15937.500000,19237.500000,19051.236328,500
2011-09-01,19250.000000,32937.500000,19025.000000,32937.500000,32618.587891,0
2011-10-01,36075.000000,40000.000000,17750.000000,20237.500000,20041.552734,500
2011-11-01,22050.000000,27287.500000,17750.000000,20062.500000,19868.246094,100
2011-12-01,20712.500000,26750.000000,19262.500000,23762.500000,23532.421875,0
2012-01-01,23350.000000,23737.500000,16062.500000,16925.000000,16761.125000,0
2012-02-01,16662.500000,17475.000000,13875.000000,14250.000000,14112.026367,0
2012-03-01,14212.500000,16300.000000,13537.500000,15425.000000,15275.649414,300
2012-04-01,15637.500000,16725.000000,14187.500000,14950.000000,14805.248047,100
2012-05-01,14912.500000,21950.000000,14062.500000,21062.500000,20858.564453,100
2012-06-01,22375.000000,25000.000000,17787.500000,18925.000000,18741.759766,200
2012-07-01,18625.000000,22687.500000,18000.000000,20050.000000,19855.869141,0
2012-08-01,19600.000000,21037.500000,16875.000000,19137.500000,18952.201172,0
2012-09-01,19450.000000,20500.000000,15475.000000,16675.000000,16513.546875,0
2012-10-01,16462.500000,16775.000000,14187.500000,15512.500000,15362.301758,0
2012-11-01,15075.000000,17812.500000,14412.500000,15562.500000,15411.817383,0
2012-12-01,15550.000000,16462.500000,13062.500000,13062.500000,12936.023438,0
2013-01-01,13137.500000,13137.500000,11012.500000,11987.500000,11871.432617,0
2013-02-01,11737.500000,14312.500000,11650.000000,13612.500000,13480.698242,0
2013-03-01,13875.000000,15237.500000,12850.000000,13950.000000,13814.929688,0
2013-04-01,13887.500000,16000.000000,12955.000000,12990.000000,12864.225586,0
2013-05-01,13165.000000,13425.000000,10592.500000,12015.000000,11898.665039,0
2013-06-01,11852.500000,15922.500000,11385.000000,12455.000000,12334.405273,700
2013-07-01,12455.000000,13462.500000,8927.500000,9127.500000,9039.124023,300
2013-08-01,8692.500000,9022.500000,7290.000000,8040.000000,7962.153809,200
2013-09-01,7827.500000,7827.500000,5750.000000,5932.500000,5875.059570,800
2013-10-01,5852.500000,6212.500000,4842.500000,5682.500000,5627.479980,900
2013-11-01,5475.000000,6192.500000,4522.500000,4765.000000,4718.863281,1100
2013-12-01,4735.000000,5797.500000,4580.000000,5247.500000,5196.691895,1000
2014-01-01,5465.000000,7257.500000,5417.500000,6870.000000,6803.481934,4200
2014-02-01,6995.000000,7515.000000,5875.000000,6222.500000,6162.250977,3800
2014-03-01,6522.500000,7855.000000,5712.500000,5870.000000,5813.164063,9900
2014-04-01,5770.000000,6567.500000,5120.000000,6215.000000,6154.823730,5100
2014-05-01,6225.000000,6477.500000,5155.000000,5232.500000,5181.837402,1800
2014-06-01,5182.500000,5182.500000,4630.000000,4885.000000,4837.701660,1500
2014-07-01,4815.000000,4815.000000,3452.500000,3687.500000,3651.796143,4100
2014-08-01,3685.000000,3882.500000,3370.000000,3637.500000,3602.280273,6100
2014-09-01,3542.500000,4297.500000,3107.500000,4205.000000,4164.285645,8300
2014-10-01,4292.500000,4710.000000,3557.500000,3605.000000,3570.094482,8300
2014-11-01,3687.500000,4040.000000,3242.500000,3325.000000,3292.806152,2800
2014-12-01,3567.500000,3710.000000,2800.000000,2847.500000,2819.929443,9100
2015-01-01,2760.000000,3012.500000,2382.500000,2845.000000,2817.453613,8900
2015-02-01,2767.500000,2767.500000,2315.000000,2347.500000,2324.770508,6400
