Date,Open,High,Low,Close,Adj Close,Volume
2008-10-01,26.719999,28.000000,22.000000,26.799999,22.968061,28200
2008-11-01,26.799999,34.310001,18.760000,27.620001,23.670809,33900
2008-12-01,26.240000,36.730000,25.629999,31.650000,27.124594,273800
2009-01-01,31.200001,36.700001,25.980000,27.549999,23.619690,385300
2009-02-01,26.740000,29.510000,23.030001,23.570000,20.207481,165700
2009-03-01,23.020000,28.820000,21.610001,27.299999,23.405354,289400
2009-04-01,26.900000,33.060001,26.889999,31.190001,26.740404,271400
2009-05-01,31.540001,36.919998,31.350000,35.520000,30.452688,237600
2009-06-01,35.549999,39.029999,31.760000,34.389999,29.483885,423200
2009-07-01,34.279999,36.950001,31.020000,36.950001,31.997070,356900
2009-08-01,38.000000,40.040001,36.410000,38.540001,33.373943,243100
2009-09-01,38.750000,41.930000,37.400002,39.750000,34.421753,180900
2009-10-01,39.290001,42.009998,37.290001,37.549999,32.516647,157700
2009-11-01,37.500000,40.680000,36.470001,37.299999,32.300152,160200
2009-12-01,38.119999,39.759998,35.380001,38.639999,33.460537,212700
2010-01-01,39.139999,42.049999,37.000000,37.180000,32.261078,241300
2010-02-01,37.770000,38.849998,35.209999,37.169998,32.252392,194700
2010-03-01,37.650002,40.560001,37.220001,40.270000,34.942265,185300
2010-04-01,40.459999,42.400002,40.000000,40.630001,35.254635,265600
2010-05-01,40.919998,40.919998,23.120001,35.439999,30.751278,344700
2010-06-01,35.150002,37.470001,32.779999,32.779999,28.443197,234600
2010-07-01,33.070000,37.340000,32.580002,36.419998,31.989586,78300
2010-08-01,37.189999,38.439999,34.160000,34.930000,30.680840,75000
2010-09-01,36.200001,39.820000,36.200001,39.450001,34.650982,90400
2010-10-01,39.770000,42.520000,39.490002,41.330002,36.302307,129600
2010-11-01,41.349998,43.139999,40.009998,40.619999,35.678669,91100
2010-12-01,41.529999,44.830002,41.310001,44.709999,39.271126,107700
2011-01-01,44.779999,47.110001,43.439999,46.470001,40.942654,108400
2011-02-01,47.169998,48.020000,45.340000,47.020000,41.427235,165600
2011-03-01,47.369999,49.340000,43.790001,49.029999,43.198151,703300
2011-04-01,49.340000,50.660000,46.279999,49.759998,43.841328,426800
2011-05-01,49.750000,50.000000,44.590000,46.910000,41.330303,368100
2011-06-01,46.939999,46.939999,42.410000,45.139999,39.770840,200800
2011-07-01,45.320000,45.570000,42.020000,42.660000,38.045170,85700
2011-08-01,43.189999,43.230000,34.270000,38.970001,34.754353,872600
2011-09-01,38.500000,38.740002,32.720001,33.810001,30.152546,107300
2011-10-01,33.470001,40.790001,31.780001,38.349998,34.201416,99400
2011-11-01,36.480000,38.630001,33.340000,36.549999,32.596134,83900
2011-12-01,36.400002,37.410000,33.730000,36.029999,32.132381,70200
2012-01-01,37.090000,40.689999,36.139999,39.970001,35.830879,336600
2012-02-01,41.040001,42.919998,40.709999,42.119999,37.758228,89500
2012-03-01,42.410000,42.740002,40.110001,41.130001,36.870754,49700
2012-04-01,40.750000,41.400002,37.810001,39.349998,35.304615,43200
2012-05-01,39.369999,40.110001,33.889999,34.410000,30.872480,126600
2012-06-01,33.599998,36.020000,32.980000,36.020000,32.316967,66900
2012-07-01,36.189999,36.759998,33.529999,36.150002,32.891209,257900
2012-08-01,35.970001,38.400002,35.009998,36.919998,33.591805,559900
2012-09-01,36.419998,40.919998,36.419998,38.950001,35.438812,62900
2012-10-01,39.310001,40.279999,38.470001,39.090000,35.566181,39900
2012-11-01,39.500000,39.630001,37.139999,39.189999,35.657162,34400
2012-12-01,39.689999,42.650002,39.419998,42.279999,38.468620,51800
2013-01-01,43.200001,44.020000,42.860001,43.490002,39.634590,40000
2013-02-01,43.880001,43.980000,42.080002,43.320000,39.479668,46700
2013-03-01,42.650002,43.310001,42.290001,42.849998,39.051334,25200
2013-04-01,42.669998,43.060001,40.529999,42.669998,38.887283,82900
2013-05-01,42.750000,45.610001,42.189999,43.860001,39.971794,59900
2013-06-01,43.759998,44.250000,40.720001,41.889999,38.176430,15900
2013-07-01,42.439999,45.400002,41.930000,44.139999,40.865215,13500
2013-08-01,45.020000,45.650002,43.590000,43.590000,40.356026,16800
2013-09-01,44.720001,48.500000,44.540001,47.990002,44.429585,18600
2013-10-01,48.150002,50.740002,47.130001,50.360001,46.737850,19600
2013-11-01,50.000000,50.459999,49.080002,49.950001,46.357346,160800
2013-12-01,49.560001,51.459999,48.259998,51.459999,47.758728,22500
2014-01-01,50.480000,52.029999,49.380001,49.500000,46.124435,88500
2014-02-01,48.389999,52.119999,48.029999,51.880001,48.342152,28400
2014-03-01,50.660000,52.570000,50.639999,51.840000,48.304886,20300
2014-04-01,51.840000,52.970001,50.599998,52.220001,48.675793,17100
2014-05-01,52.360001,53.250000,50.419998,52.980000,49.384209,23100
2014-06-01,53.060001,54.509998,52.240002,52.570000,49.002037,18300
2014-07-01,52.570000,53.080002,50.660000,51.189999,48.146774,53600
2014-08-01,50.910000,52.459999,49.450001,51.919998,48.833382,123200
2014-09-01,51.689999,52.180000,48.090000,48.340000,45.466209,18500
2014-10-01,47.230000,47.230000,42.619999,45.740002,43.148296,84500
2014-11-01,46.470001,46.880001,44.500000,44.830002,42.289852,24800
2014-12-01,44.119999,45.410000,43.020000,45.180000,42.620022,36900
2015-01-01,45.000000,45.139999,42.849998,43.110001,40.763466,29900
2015-02-01,42.700001,47.220001,42.500000,46.490002,43.959499,9400
2015-03-01,46.490002,46.799999,44.860001,46.529999,43.997326,3600
2015-04-01,46.529999,50.669998,46.529999,50.169998,47.439194,27100
2015-05-01,50.169998,50.700001,48.930000,49.439999,46.748920,12100
2015-06-01,49.439999,50.500000,48.090000,48.169998,45.548050,8100
2015-07-01,48.169998,48.540001,45.970001,47.389999,45.159359,11500
2015-08-01,47.389999,48.220001,42.750000,45.959999,43.796665,209700
2015-09-01,45.160000,46.230000,43.360001,43.560001,41.509640,30500
2015-10-01,44.419998,47.930000,43.759998,46.900002,44.721115,139800
2015-11-01,47.060001,47.520000,45.169998,46.220001,44.072701,106000
2015-12-01,46.570000,46.669998,43.900002,44.240002,42.184685,12800
2016-01-01,43.500000,43.549999,37.959999,41.900002,40.041096,51500
2016-02-01,42.009998,42.279999,38.980000,42.259998,40.385120,11900
2016-03-01,43.160000,47.070000,43.139999,46.930000,44.847927,8400
2016-04-01,45.990002,48.650002,44.830002,47.840000,45.717556,10500
2016-05-01,47.840000,48.250000,46.430000,47.939999,45.813118,36900
2016-06-01,47.740002,48.930000,42.349998,45.029999,43.032227,28300
2016-07-01,45.410000,47.549999,43.889999,47.340000,45.985878,31900
2016-08-01,47.049999,48.740002,46.689999,48.009998,46.636719,4700
2016-09-01,47.250000,48.650002,46.490002,48.480000,47.093281,5600
2016-10-01,48.180000,48.450001,47.320000,47.619999,46.352413,16500
2016-11-01,47.619999,49.189999,46.880001,49.169998,47.861149,135000
2016-12-01,49.500000,50.720001,49.160000,50.290001,48.951344,38900
2017-01-01,49.480000,51.869999,49.480000,50.560001,49.339039,31400
2017-02-01,50.980000,52.180000,50.320000,51.000000,49.768414,36900
2017-03-01,51.919998,52.389999,51.279999,52.290001,51.027264,28300
2017-04-01,52.320000,54.220001,51.930000,54.029999,52.725239,12400
2017-05-01,54.180000,54.230000,53.119999,53.250000,51.964077,13400
2017-06-01,53.439999,54.669998,53.310001,54.250000,52.939930,18200
2017-07-01,54.250000,55.709999,53.709999,54.919998,54.018368,26200
2017-08-01,54.919998,55.500000,52.970001,54.970001,54.067543,8400
2017-09-01,55.119999,56.939999,54.619999,56.790001,55.857666,45600
2017-10-01,56.619999,58.080002,56.389999,58.049999,57.178806,37000
2017-11-01,58.410000,59.680000,56.009998,59.139999,58.252449,88100
2017-12-01,58.860001,59.740002,58.369999,59.529999,58.636600,116100
2018-01-01,59.779999,63.910000,59.779999,62.410000,61.473377,81700
2018-02-01,62.310001,62.540001,55.389999,58.490002,57.612206,98600
2018-03-01,57.139999,58.820000,55.490002,56.840000,55.986965,135800
2018-04-01,56.680000,59.349998,54.990002,59.349998,58.473457,40800
2018-05-01,59.150002,59.869999,56.419998,57.299999,56.453735,69900
2018-06-01,57.639999,58.889999,55.240002,55.910000,55.084270,41900
2018-07-01,54.650002,57.230000,54.540001,56.990002,56.697388,86800
2018-08-01,56.980000,56.980000,53.610001,55.389999,55.105598,230700
2018-09-01,54.849998,57.660000,54.080002,56.590000,56.299442,171700
2018-10-01,56.830002,56.860001,49.020000,50.029999,49.874195,241000
2018-11-01,50.270000,52.750000,48.889999,50.000000,49.844288,76600
2018-12-01,50.160000,50.160000,43.709999,45.930000,45.786964,51100
2019-01-01,45.820000,49.709999,45.549999,49.340000,49.316601,22900
2019-02-01,49.150002,51.099998,47.610001,50.959999,50.935833,44700
2019-03-01,51.230000,51.369999,49.459999,50.040001,50.016270,20900
