Date,Open,High,Low,Close,Adj Close,Volume
2006-02-01,45.810001,46.080002,42.889999,44.700001,39.029236,4614700
2006-03-01,44.520000,46.389999,41.889999,44.750000,39.072876,8850300
2006-04-01,44.599998,46.520000,41.770000,42.380001,37.032970,6961800
2006-05-01,42.500000,42.639999,36.500000,36.700001,32.069607,9642800
2006-06-01,36.849998,37.669998,32.540001,33.980000,29.692791,14453700
2006-07-01,33.880001,33.880001,28.780001,31.059999,27.168919,16876800
2006-08-01,30.860001,33.770000,29.700001,31.400000,27.466330,21754300
2006-09-01,31.600000,34.750000,29.500000,32.720001,28.620964,38912000
2006-10-01,32.570000,35.520000,32.450001,34.299999,30.073536,35901200
2006-11-01,34.650002,37.389999,32.279999,37.000000,32.440857,36370500
2006-12-01,37.200001,38.880001,36.240002,37.389999,32.782791,26084300
2007-01-01,37.400002,38.500000,34.650002,38.240002,33.583595,27292800
2007-02-01,38.660000,40.029999,35.459999,35.669998,31.326534,44474900
2007-03-01,34.900002,36.240002,32.410000,32.549999,28.586452,79367900
2007-04-01,32.540001,36.049999,32.000000,34.160000,30.080853,62471700
2007-05-01,34.200001,36.950001,33.570000,35.660000,31.401718,62987400
2007-06-01,35.779999,35.889999,30.230000,30.230000,26.620136,57000300
2007-07-01,30.309999,31.170000,26.459999,26.459999,23.343410,88704200
2007-08-01,26.480000,28.639999,22.680000,24.850000,21.923046,142158100
2007-09-01,24.870001,26.610001,20.990000,21.400000,18.879404,95490200
2007-10-01,21.750000,24.260000,20.530001,22.170000,19.612097,112626800
2007-11-01,22.000000,22.010000,16.840000,19.049999,16.852074,82600400
2007-12-01,19.139999,21.799999,18.400000,19.350000,17.117466,86176600
2008-01-01,19.480000,22.719999,15.220000,22.000000,19.543360,184772600
2008-02-01,21.920000,23.600000,19.309999,20.400000,18.122023,157397000
2008-03-01,20.200001,24.450001,18.110001,21.690001,19.267975,188742900
2008-04-01,22.389999,24.500000,21.200001,22.120001,19.704113,156382800
2008-05-01,22.040001,23.389999,19.200001,19.940001,17.762203,139776300
2008-06-01,19.820000,20.469999,16.430000,16.430000,14.635558,144676000
2008-07-01,16.459999,19.240000,13.810000,17.570000,15.750854,167411500
2008-08-01,17.830000,20.360001,16.730000,19.730000,17.687214,111639000
2008-09-01,20.200001,24.930000,17.900000,19.670000,17.633432,184568300
2008-10-01,19.400000,20.110001,11.010000,14.040000,12.648282,189219600
2008-11-01,13.960000,14.710000,8.210000,11.860000,10.684376,83526900
