Date,Open,High,Low,Close,Adj Close,Volume
2015-05-04,25.249001,25.250000,24.850000,25.230000,23.573542,4800
2015-05-11,25.200001,25.750000,25.000000,25.459999,23.788443,9500
2015-05-18,25.440001,26.030001,25.440001,25.502001,23.827688,25900
2015-05-25,25.209999,25.700001,25.129999,25.150000,23.498795,7100
2015-06-01,25.129999,25.280001,24.780001,24.870001,23.237181,9400
2015-06-08,24.870001,25.059999,24.639999,25.018000,23.375460,1900
2015-06-15,24.690001,25.200001,24.690001,25.200001,23.545515,7400
2015-06-22,25.389999,25.400000,24.990000,24.990000,23.349298,10700
2015-06-29,24.090000,24.760000,24.090000,24.580000,23.067745,6200
2015-07-06,24.580000,24.950001,23.770000,24.950001,23.414984,5300
2015-07-13,24.950001,24.950001,24.820000,24.820000,23.292982,200
2015-07-20,24.820000,24.820000,24.170000,24.170000,22.682968,800
2015-07-27,24.170000,24.170000,24.170000,24.170000,22.682968,0
2015-08-03,24.430000,24.570000,24.330000,24.500000,22.992670,8000
2015-08-10,24.790001,24.790001,24.760000,24.760000,23.236675,900
2015-08-17,24.500000,24.740000,23.120001,23.150000,21.725725,3400
2015-08-24,22.030001,24.100000,22.030001,23.219999,21.791416,8000
2015-08-31,23.059999,23.090000,22.400000,22.459999,21.078175,1300
2015-09-07,22.459999,22.980000,22.459999,22.980000,21.566183,2100
2015-09-14,22.980000,23.200001,22.980000,23.160000,21.735109,1500
2015-09-21,23.160000,23.160000,22.620001,22.620001,21.228331,900
2015-09-28,22.170000,22.309999,21.969999,22.270000,20.899866,8000
2015-10-05,23.059999,23.160000,22.980000,23.020000,21.603727,1700
2015-10-12,23.020000,23.570000,23.020000,23.570000,22.119884,300
2015-10-19,23.570000,23.570000,23.450001,23.450001,22.007269,300
2015-10-26,23.450001,23.900000,23.450001,23.900000,22.429581,3600
2015-11-02,23.990000,24.110001,23.990000,23.990000,22.514048,4200
2015-11-09,23.639999,23.799999,23.549999,23.608999,22.156485,7000
2015-11-16,23.245001,24.070000,23.245001,23.920000,22.448353,700
2015-11-23,23.850000,24.000000,23.750000,24.000000,22.523430,3000
2015-11-30,23.889999,24.250000,23.634001,23.634001,22.179945,42900
2015-12-07,23.634001,23.790001,23.080000,23.129999,21.706955,41500
2015-12-14,23.000000,23.389999,22.860001,23.065001,21.645954,25100
2015-12-21,23.049999,23.110001,22.980000,23.070000,21.650648,5800
2015-12-28,23.209999,23.900000,23.209999,23.410000,22.069237,5200
2016-01-04,22.829000,22.829000,22.000000,22.000000,20.739996,5000
2016-01-11,21.580000,22.129999,20.750000,20.750000,19.561584,10900
2016-01-18,21.290001,21.290001,20.219999,21.260000,20.042377,11500
2016-01-25,21.139999,21.327000,21.129999,21.129999,19.919823,3800
2016-02-01,21.320000,21.700001,21.080000,21.500000,20.268629,11500
2016-02-08,20.650000,21.070000,20.250000,20.250000,19.090221,27700
2016-02-15,21.084000,21.559999,21.084000,21.559999,20.325193,6700
2016-02-22,21.730000,21.760000,21.730000,21.740000,20.494884,3300
2016-02-29,21.719999,22.080000,21.441000,22.059999,20.796556,14300
2016-03-07,22.059999,22.059999,22.059999,22.059999,20.796556,0
2016-03-14,22.059999,22.440001,22.059999,22.400000,21.117085,800
2016-03-21,22.400000,22.980000,22.400000,22.879999,21.569593,800
2016-03-28,22.750000,23.120001,22.750000,22.830000,21.522459,900
2016-04-04,22.830000,22.830000,22.830000,22.830000,21.522459,0
2016-04-11,22.830000,23.375000,22.830000,23.340000,22.003246,5800
2016-04-18,23.340000,23.709999,23.340000,23.464001,22.120146,11900
2016-04-25,23.464001,23.520000,23.270000,23.270000,21.937260,14000
2016-05-02,23.270000,23.270000,23.270000,23.270000,21.937260,0
2016-05-09,23.270000,23.270000,22.719999,22.719999,21.418755,1400
2016-05-16,22.760000,22.879999,22.430000,22.770000,21.465893,8700
2016-05-23,22.750000,23.170000,22.700001,23.170000,21.842987,8800
2016-05-30,23.290001,23.290001,23.170000,23.290001,21.956114,2000
2016-06-06,23.430000,23.645000,23.430000,23.625999,22.272867,11000
2016-06-13,23.625999,23.625999,22.540001,22.771999,21.467779,900
