Date,Open,High,Low,Close,Adj Close,Volume
2007-06-25,26.400000,26.430000,26.250000,26.260000,17.221693,0
2007-07-02,26.400000,26.430000,25.120001,25.629999,16.808523,83600
2007-07-09,26.150000,26.400000,25.450001,26.340000,17.274155,670000
2007-07-16,26.400000,26.719999,25.900000,26.440001,17.339737,319700
2007-07-23,26.610001,26.610001,24.190001,24.430000,16.021545,292800
2007-07-30,24.510000,25.200001,24.120001,24.809999,16.270763,145400
2007-08-06,24.809999,24.980000,23.270000,24.000000,15.739553,228300
2007-08-13,24.750000,24.790001,21.160000,22.750000,14.919781,236400
2007-08-20,22.889999,23.450001,22.299999,23.360001,15.319828,72200
2007-08-27,23.330000,23.600000,22.510000,23.559999,15.450989,39400
2007-09-03,23.660000,24.219999,23.660000,23.870001,15.654297,76300
2007-09-10,23.809999,25.280001,23.450001,25.110001,16.467497,73700
2007-09-17,25.120001,25.740000,24.570000,25.070000,16.441269,84600
2007-09-24,25.250000,26.219999,25.059999,26.020000,17.064289,96700
2007-10-01,26.110001,26.129999,25.370001,26.080000,17.103643,62900
2007-10-08,26.000000,26.719999,25.650000,26.459999,17.352856,104200
2007-10-15,26.590000,27.600000,26.379999,27.260000,17.877506,138000
2007-10-22,26.510000,27.600000,26.379999,27.540001,18.061132,88400
2007-10-29,27.889999,28.850000,27.510000,28.850000,18.920250,67800
2007-11-05,31.110001,31.110001,26.790001,27.820000,18.244762,191800
2007-11-12,27.549999,27.549999,25.430000,26.469999,17.359413,127200
2007-11-19,26.400000,26.719999,25.860001,26.190001,17.175785,55100
2007-11-26,26.490000,26.490000,24.680000,24.780001,16.251080,88300
2007-12-03,24.040001,25.549999,24.040001,25.459999,16.697037,54000
2007-12-10,25.570000,25.809999,25.090000,25.270000,16.572428,36400
2007-12-17,25.330000,25.959999,25.000000,25.910000,16.992153,46400
2007-12-24,26.000000,26.459999,25.559999,26.080000,17.103643,68400
2007-12-31,26.719999,27.100000,25.150000,26.190001,17.668646,83200
2008-01-07,26.350000,26.350000,24.020000,24.900000,16.798363,62800
2008-01-14,24.469999,25.629999,22.840000,22.950001,15.482831,136800
2008-01-21,22.940001,23.700001,20.270000,23.160000,15.624502,61700
2008-01-28,24.549999,25.150000,22.870001,24.660000,16.636454,32400
2008-02-04,24.549999,25.280001,23.510000,24.309999,16.400330,47500
2008-02-11,24.450001,25.650000,24.230000,25.080000,16.919802,37600
2008-02-18,25.459999,25.580000,22.049999,25.330000,17.088455,41200
2008-02-25,26.389999,27.840000,25.530001,26.990000,18.208347,179100
2008-03-03,28.059999,28.059999,26.240000,26.620001,17.958733,98200
2008-03-10,27.790001,27.790001,25.750000,26.820000,18.093658,48400
2008-03-17,27.410000,27.410000,22.799999,24.219999,16.339615,68300
2008-03-24,22.809999,26.100000,22.809999,25.510000,17.209894,68100
2008-03-31,25.990000,26.870001,24.990000,26.360001,17.783331,46400
2008-04-07,26.950001,27.049999,26.350000,26.700001,18.012709,53500
2008-04-14,26.600000,29.330000,26.590000,28.969999,19.544121,81800
2008-04-21,28.629999,29.740000,25.500000,28.469999,19.206802,95000
2008-04-28,28.150000,29.540001,27.059999,28.610001,19.301249,113800
2008-05-05,28.700001,31.400000,28.700001,30.990000,20.906883,68000
2008-05-12,31.549999,32.369999,30.580000,32.279999,21.777153,92700
2008-05-19,33.639999,36.520000,32.299999,32.910000,22.202177,209500
2008-05-26,33.700001,33.700001,30.280001,31.709999,21.392616,80500
2008-06-02,32.279999,33.000000,30.379999,32.169998,21.702951,68800
2008-06-09,32.169998,32.500000,31.180000,31.910000,21.527544,76300
2008-06-16,32.439999,33.490002,31.430000,31.879999,21.507307,89500
2008-06-23,32.389999,33.209999,30.660000,31.830000,21.473568,106000
2008-06-30,33.040001,33.040001,30.129999,30.850000,20.932249,136100
2008-07-07,29.570000,30.360001,27.680000,30.070000,20.403000,137800
2008-07-14,30.330000,30.559999,27.309999,27.940001,18.957758,55000
2008-07-21,27.670000,28.969999,26.430000,26.790001,18.177469,85500
2008-07-28,26.940001,28.129999,26.320000,27.490000,18.652428,66800
2008-08-04,27.209999,27.270000,24.530001,24.980000,16.949348,283700
2008-08-11,24.440001,26.170000,24.090000,24.940001,16.922211,48800
2008-08-18,24.770000,27.940001,22.010000,26.719999,18.129969,70900
2008-08-25,25.930000,27.639999,25.930000,27.379999,18.577787,38500
2008-09-01,27.170000,27.170000,23.770000,24.400000,16.555811,71400
2008-09-08,24.990000,25.000000,21.370001,22.870001,15.517686,50400
2008-09-15,22.000000,22.660000,19.639999,22.500000,15.266627,66400
2008-09-22,24.139999,24.580000,21.370001,21.639999,14.683101,73500
2008-09-29,20.360001,21.150000,18.000000,18.020000,12.389665,61700
2008-10-06,17.129999,17.500000,11.280000,12.360000,8.498126,224500
2008-10-13,13.430000,16.000000,11.750000,13.610000,9.357568,148000
2008-10-20,13.510000,16.250000,11.750000,12.300000,8.456874,142800
2008-10-27,12.300000,15.760000,11.700000,14.650000,10.072618,157300
2008-11-03,15.800000,15.900000,13.860000,14.150000,9.728844,92600
2008-11-10,14.540000,15.270000,12.000000,14.230000,9.783848,132700
2008-11-17,13.560000,14.110000,10.280000,10.400000,7.150527,145500
2008-11-24,10.920000,14.030000,10.920000,12.700000,8.731894,107300
2008-12-01,12.060000,13.800000,9.660000,9.990000,6.868633,109700
2008-12-08,10.410000,12.310000,10.260000,11.400000,7.838078,312000
2008-12-15,11.810000,12.270000,10.750000,11.050000,7.597437,223700
2008-12-22,11.290000,11.290000,10.190000,10.250000,7.047396,81000
2008-12-29,10.500000,11.870000,10.420000,11.870000,8.494048,114000
2009-01-05,12.120000,13.360000,11.700000,12.000000,8.587074,150700
2009-01-12,12.000000,12.000000,10.640000,11.320000,8.100472,119800
2009-01-19,11.230000,11.620000,10.540000,11.330000,8.107630,119900
2009-01-26,11.500000,11.870000,11.000000,11.160000,7.985980,104400
2009-02-02,10.740000,11.800000,10.500000,10.910000,7.807080,53800
2009-02-09,11.780000,11.780000,10.340000,10.730000,7.678276,50800
2009-02-16,10.450000,10.450000,8.860000,9.250000,6.619206,178300
2009-02-23,9.320000,9.370000,8.210000,8.990000,6.433153,230900
2009-03-02,8.900000,8.900000,7.440000,7.900000,5.653157,123200
2009-03-09,7.750000,9.200000,7.750000,8.900000,6.368747,120300
2009-03-16,8.980000,10.520000,8.810000,9.940000,7.112961,119900
2009-03-23,10.840000,11.960000,9.760000,10.240000,7.327639,202100
2009-03-30,10.500000,10.650000,9.330000,10.530000,7.651819,123800
2009-04-06,11.710000,11.710000,10.110000,10.940000,7.949755,114800
2009-04-13,11.650000,11.650000,10.760000,11.540000,8.385755,108600
2009-04-20,11.370000,12.250000,10.300000,11.380000,8.269489,140600
2009-04-27,11.250000,11.860000,10.990000,11.670000,8.480222,112900
2009-05-04,11.680000,13.690000,11.670000,13.620000,9.897225,229900
2009-05-11,13.660000,13.660000,12.000000,12.180000,8.850822,249000
2009-05-18,12.590000,13.630000,12.280000,13.280000,9.650160,184700
2009-05-25,13.010000,14.470000,12.980000,14.380000,10.449493,189800
2009-06-01,14.960000,14.980000,13.540000,14.150000,10.282359,290700
2009-06-08,14.110000,15.200000,13.590000,14.810000,10.761961,237000
2009-06-15,14.510000,14.510000,13.160000,13.550000,9.846358,488600
2009-06-22,13.150000,13.460000,12.250000,13.000000,9.446691,169800
2009-06-29,12.930000,13.370000,12.500000,12.550000,9.234200,147500
2009-07-06,12.550000,12.550000,11.300000,11.640000,8.564627,275700
2009-07-13,11.590000,13.520000,11.460000,12.970000,9.543232,182100
2009-07-20,13.090000,13.820000,12.970000,13.700000,10.080363,162800
2009-07-27,13.750000,13.860000,12.920000,13.650000,10.043572,122800
2009-08-03,13.700000,14.280000,13.650000,13.840000,10.183376,199200
2009-08-10,13.660000,13.970000,13.190000,13.550000,9.969994,132900
2009-08-17,13.400000,13.990000,12.870000,13.920000,10.242236,101500
2009-08-24,13.950000,14.220000,13.460000,13.880000,10.212806,130200
2009-08-31,13.870000,14.000000,13.260000,13.890000,10.220162,244100
2009-09-07,14.200000,14.980000,14.050000,14.700000,10.816156,347900
2009-09-14,14.650000,16.129999,14.330000,15.660000,11.522518,449900
