Date,Open,High,Low,Close,Adj Close,Volume
2010-04-05,7.501250,7.508750,7.485000,7.508750,7.495902,8800
2010-04-12,7.495000,7.617500,7.442500,7.453750,7.440996,92800
2010-04-19,7.500000,7.573750,6.998750,7.298750,7.286261,126400
2010-04-26,7.330000,7.585000,6.968750,7.378750,7.366124,105600
2010-05-03,7.403750,7.571250,5.500000,6.022500,6.012195,120000
2010-05-10,6.511250,6.781250,6.238750,6.355000,6.344126,68800
2010-05-17,6.417500,6.516250,5.518750,5.681250,5.671529,100000
2010-05-24,5.661250,5.808750,5.392500,5.808750,5.798811,44800
2010-05-31,5.773750,6.053750,5.563750,5.597500,5.587922,17600
2010-06-07,5.645000,5.726250,5.235000,5.726250,5.716452,112000
2010-06-14,5.726250,6.036250,5.726250,5.986250,5.976007,30400
2010-06-21,5.986250,5.986250,5.638750,5.855000,5.844982,33600
2010-06-28,5.723750,5.791250,4.815000,5.096250,5.087530,31200
2010-07-05,5.168750,5.278750,4.930000,5.278750,5.269718,54400
2010-07-12,5.278750,5.640000,5.278750,5.310000,5.300914,33600
2010-07-19,5.310000,5.408750,5.101250,5.256250,5.247256,72000
2010-07-26,5.725000,5.975000,5.383750,5.648750,5.639084,110400
2010-08-02,5.746250,6.002500,5.746250,5.890000,5.879921,56800
2010-08-09,6.116250,6.161250,5.686250,5.707500,5.697734,20800
2010-08-16,5.712500,5.902500,5.555000,5.583750,5.574195,60800
2010-08-23,5.652500,5.652500,5.233750,5.440000,5.430692,92800
2010-08-30,5.375000,5.795000,5.333750,5.795000,5.785084,58400
2010-09-06,5.840000,6.130000,5.706250,6.121250,6.110776,104000
2010-09-13,6.246250,6.305000,6.116250,6.232500,6.221836,92800
2010-09-20,6.263750,6.531250,6.263750,6.531250,6.520074,153600
2010-09-27,6.516250,6.520000,6.333750,6.400000,6.400000,39200
2010-10-04,6.321250,6.636250,6.295000,6.610000,6.610000,51200
2010-10-11,6.610000,6.787500,6.541250,6.787500,6.787500,21600
2010-10-18,6.861250,6.861250,6.690000,6.690000,6.690000,46400
2010-10-25,6.851250,6.908750,6.631250,6.908750,6.908750,47200
2010-11-01,6.743750,7.013750,6.691250,6.763750,6.763750,41600
2010-11-08,6.687500,6.691250,6.495000,6.526250,6.526250,85600
2010-11-15,6.631250,6.752500,6.503750,6.752500,6.752500,42400
2010-11-22,6.752500,6.752500,6.752500,6.752500,6.752500,0
2010-11-29,6.752500,6.762500,6.577500,6.762500,6.762500,16000
2010-12-06,6.762500,7.140000,6.762500,7.116250,7.116250,7200
2010-12-13,7.097500,7.662500,7.050000,7.638750,7.638750,100800
2010-12-20,7.687500,7.858750,7.500000,7.678750,7.678750,83200
2010-12-27,7.726250,7.797500,7.128750,7.520000,7.520000,68000
2011-01-03,7.496250,7.785000,7.496250,7.690000,7.690000,96800
2011-01-10,7.742500,8.075000,7.742500,7.947500,7.947500,30400
2011-01-17,7.968750,8.075000,7.450000,7.663750,7.663750,50400
2011-01-24,7.645000,7.907500,7.428750,7.428750,7.428750,204000
2011-01-31,7.433750,7.662500,7.433750,7.587500,7.587500,36000
2011-02-07,7.427500,7.590000,7.416250,7.575000,7.575000,56000
2011-02-14,7.640000,7.780000,7.640000,7.760000,7.760000,17600
2011-02-21,7.936250,7.936250,6.946250,7.393750,7.393750,20000
2011-02-28,7.393750,7.670000,7.393750,7.670000,7.670000,1600
2011-03-07,7.636250,7.947500,7.472500,7.472500,7.472500,37600
2011-03-14,7.665000,7.665000,7.437500,7.437500,7.437500,1600
2011-03-21,7.637500,8.045000,7.566250,8.006250,8.006250,30400
2011-03-28,7.940000,8.600000,7.940000,8.600000,8.600000,29600
2011-04-04,8.955000,9.193750,8.612500,8.885000,8.885000,1152000
2011-04-11,9.131250,9.361250,8.761250,9.361250,9.361250,312000
2011-04-18,9.357500,9.551250,8.938750,9.378750,9.378750,330400
2011-04-25,9.378750,10.165000,9.203750,9.782500,9.782500,502400
2011-05-02,10.106250,10.118750,9.312500,9.675000,9.675000,734400
2011-05-09,9.828750,10.292500,9.701250,10.056250,10.056250,708000
2011-05-16,10.056250,10.157500,9.563750,9.947500,9.947500,482400
2011-05-23,9.841250,9.897500,9.437500,9.895000,9.895000,318400
2011-05-30,10.221250,10.221250,9.625000,9.671250,9.671250,500800
2011-06-06,9.745000,9.745000,9.022500,9.050000,9.050000,576000
2011-06-13,8.972500,9.241250,8.687500,8.753750,8.753750,406400
2011-06-20,8.687500,9.193750,8.687500,8.976250,8.976250,189600
2011-06-27,8.936250,9.815000,8.875000,9.815000,9.815000,163200
2011-07-04,10.000000,10.168750,9.775000,10.168750,10.168750,2162400
2011-07-11,10.103750,10.103750,9.626250,9.716250,9.716250,744800
2011-07-18,9.705000,10.080000,9.313750,10.037500,10.037500,612000
2011-07-25,10.036250,10.036250,8.651250,9.088750,9.088750,820800
2011-08-01,9.362500,9.362500,6.373750,6.806250,6.806250,1794400
2011-08-08,6.296250,6.812500,4.241250,6.738750,6.738750,1430400
2011-08-15,6.955000,7.320000,6.106250,6.392500,6.392500,608800
2011-08-22,6.598750,6.937500,6.305000,6.932500,6.932500,452000
2011-08-29,7.033750,7.782500,6.975000,6.977500,6.977500,401600
2011-09-05,6.612500,7.782500,6.543750,7.181250,7.181250,276800
2011-09-12,7.046250,7.885000,6.976250,7.758750,7.758750,232800
2011-09-19,7.537500,8.042500,6.975000,7.270000,7.270000,144000
2011-09-26,7.352500,7.761250,6.840000,7.076250,7.076250,208800
2011-10-03,6.932500,7.400000,6.233750,7.135000,7.135000,252800
2011-10-10,7.428750,7.785000,7.402500,7.577500,7.577500,114400
2011-10-17,7.457500,7.696250,7.225000,7.613750,7.613750,191200
2011-10-24,7.606250,8.095000,7.427500,8.083750,8.083750,163200
2011-10-31,7.850000,7.861250,7.250000,7.365000,7.365000,93600
2011-11-07,7.390000,7.500000,6.875000,7.257500,7.257500,130400
2011-11-14,7.248750,7.286250,6.693750,6.825000,6.825000,82400
2011-11-21,7.340000,7.718750,7.332500,7.352500,7.352500,137600
2011-11-28,7.515000,8.448750,7.515000,8.235000,8.235000,248800
2011-12-05,8.376250,8.376250,7.918750,8.193750,8.193750,138400
2011-12-12,8.123750,8.175000,7.735000,7.946250,7.946250,89600
2011-12-19,8.158750,8.497500,7.960000,8.468750,8.468750,32800
2011-12-26,8.451250,8.715000,8.000000,8.690000,8.690000,100800
2012-01-02,8.943750,9.212500,8.750000,9.138750,9.138750,248000
2012-01-09,9.473750,10.017500,9.300000,9.992500,9.992500,458400
2012-01-16,10.233750,10.490000,10.057500,10.147500,10.147500,339200
2012-01-23,10.201250,10.690000,9.906250,10.625000,10.625000,333600
2012-01-30,10.423750,11.662500,10.341250,11.503750,11.503750,361600
2012-02-06,11.423750,11.940000,11.053750,11.166250,11.166250,508000
2012-02-13,11.398750,11.923750,11.172500,11.180000,11.180000,372000
2012-02-20,11.238750,11.325000,10.543750,11.267500,11.267500,440000
2012-02-27,11.055000,11.483750,11.006250,11.340000,11.340000,160800
2012-03-05,11.386250,11.386250,10.586250,11.202500,11.202500,264000
2012-03-12,11.306250,11.761250,11.172500,11.501250,11.501250,209600
2012-03-19,11.480000,11.735000,11.326250,11.700000,11.700000,121600
2012-03-26,11.996250,12.220000,11.692500,12.008750,12.008750,180000
2012-04-02,12.000000,12.340000,11.757500,12.085000,12.085000,139200
2012-04-09,11.941250,11.941250,10.915000,10.962500,10.962500,180800
2012-04-16,11.011250,11.760000,10.666250,11.710000,11.710000,137600
2012-04-23,11.490000,12.502500,11.280000,12.427500,12.427500,137600
2012-04-30,12.505000,12.541250,11.623750,11.623750,11.623750,137600
2012-05-07,11.458750,12.600000,11.235000,12.525000,12.525000,94400
2012-05-14,12.370000,12.627500,11.311250,11.323750,11.323750,469600
2012-05-21,11.485000,12.287500,11.485000,12.247500,12.247500,242400
2012-05-28,12.212500,12.288750,11.096250,11.162500,11.162500,220800
2012-06-04,11.151250,12.275000,10.938750,11.977500,11.977500,146400
2012-06-11,12.162500,12.196250,11.448750,12.196250,12.196250,132800
2012-06-18,12.278750,12.970000,11.903750,12.800000,12.800000,536000
2012-06-25,12.853750,13.236250,11.452500,13.093750,13.093750,197600
2012-07-02,13.032500,14.120000,13.032500,13.610000,13.610000,208800
2012-07-09,13.801250,13.985000,12.656250,13.452500,13.452500,264800
2012-07-16,13.500000,14.281250,13.245000,13.755000,13.755000,240800
2012-07-23,13.348750,14.786250,12.875000,14.750000,14.750000,552000
2012-07-30,14.747500,14.747500,12.993750,13.553750,13.553750,217600
2012-08-06,13.750000,14.005000,13.052500,13.625000,13.625000,158400
2012-08-13,13.678750,14.163750,13.520000,13.818750,13.818750,161600
2012-08-20,13.736250,14.372500,13.490000,14.268750,14.268750,240000
2012-08-27,14.275000,14.425000,14.023750,14.296250,14.296250,141600
2012-09-03,14.453750,15.623750,14.406250,15.393750,15.393750,194400
2012-09-10,15.385000,15.637500,14.906250,15.520000,15.520000,189600
2012-09-17,15.750000,16.358749,15.575000,16.218750,16.218750,308000
2012-09-24,16.305000,16.305000,14.887500,15.763750,15.763750,216000
2012-10-01,15.977500,17.397499,15.937500,16.844999,16.844999,509600
2012-10-08,16.917500,16.917500,15.415000,15.555000,15.555000,440800
2012-10-15,15.502500,17.035000,15.000000,15.142500,15.142500,344000
2012-10-22,15.142500,15.142500,13.922500,14.175000,14.175000,448000
2012-10-29,13.947500,14.175000,12.965000,13.310000,13.310000,313200
2012-11-05,13.290000,13.947500,12.252500,13.002500,13.002500,592400
2012-11-12,13.430000,13.750000,12.337500,13.315000,13.315000,323200
2012-11-19,13.750000,14.692500,13.320000,14.667500,14.667500,324400
2012-11-26,14.730000,15.160000,13.892500,14.870000,14.870000,349600
2012-12-03,15.150000,15.150000,14.390000,14.475000,14.475000,500000
2012-12-10,14.507500,15.562500,14.507500,14.697500,14.697500,618000
2012-12-17,14.917500,15.500000,14.000000,14.727500,14.727500,415600
2012-12-24,14.512500,14.710000,13.907500,14.050000,14.050000,236800
2012-12-31,13.760000,15.750000,13.760000,15.637500,15.637500,340800
2013-01-07,15.632500,17.285000,15.560000,16.230000,16.230000,439600
2013-01-14,16.075001,16.625000,15.877500,16.137501,16.137501,1142400
2013-01-21,16.152500,16.415001,15.935000,16.370001,16.370001,257600
2013-01-28,16.472500,16.915001,16.045000,16.735001,16.735001,288000
2013-02-04,16.652500,16.790001,15.832500,16.485001,16.485001,269600
2013-02-11,16.662500,16.700001,16.070000,16.280001,16.280001,176800
2013-02-18,16.219999,16.517500,15.637500,16.325001,16.325001,206800
2013-02-25,16.379999,17.139999,15.770000,17.139999,17.139999,292800
2013-03-04,17.132500,18.612499,16.924999,18.590000,18.590000,492000
2013-03-11,18.642500,18.907499,18.447500,18.565001,18.565001,332000
2013-03-18,18.537500,18.775000,18.057501,18.645000,18.645000,301600
2013-03-25,18.847500,19.650000,18.209999,19.615000,19.615000,305600
2013-04-01,19.764999,20.344999,18.902500,19.602501,19.602501,754400
2013-04-08,19.719999,21.945000,19.177500,21.912500,21.912500,599600
2013-04-15,21.934999,22.662500,20.200001,22.592501,22.592501,1282400
2013-04-22,23.062500,24.217501,21.912500,22.809999,22.809999,1602800
2013-04-29,23.105000,24.325001,22.125000,23.709999,23.709999,658400
2013-05-06,24.052500,24.642500,22.517500,24.512501,24.512501,1399600
2013-05-13,24.772499,26.760000,24.430000,25.045000,25.045000,1548800
2013-05-20,25.020000,26.250000,23.295000,24.754999,24.754999,1368400
2013-05-27,25.652500,25.910000,24.120001,24.389999,24.389999,530800
2013-06-03,24.377501,24.377501,21.485001,24.215000,24.215000,2319600
2013-06-10,24.594999,24.617500,22.402500,23.312500,23.312500,728400
2013-06-17,23.504999,23.750000,20.549999,21.272499,21.272499,944800
2013-06-24,20.927500,23.240000,20.250000,22.662500,22.662500,741200
2013-07-01,23.700001,24.900000,23.500000,24.900000,24.900000,405600
2013-07-08,25.389999,28.245001,24.594999,27.980000,27.980000,922800
2013-07-15,28.305000,28.684999,27.162500,28.594999,28.594999,845600
2013-07-22,28.820000,29.172501,27.262501,28.937500,28.937500,729600
2013-07-29,28.982500,30.385000,28.212500,30.282499,30.282499,547600
2013-08-05,30.280001,30.500000,26.827499,28.612499,28.612499,1008400
2013-08-12,28.122499,28.530001,26.315001,26.620001,26.620001,675200
2013-08-19,26.320000,28.277500,26.110001,27.915001,27.915001,465600
2013-08-26,28.645000,29.459999,27.000000,28.082500,28.082500,556400
2013-09-02,28.584999,30.787500,28.584999,30.297501,30.297501,892000
2013-09-09,30.665001,32.174999,30.650000,32.139999,32.139999,724400
2013-09-16,32.814999,33.750000,32.040001,32.974998,32.974998,747200
2013-09-23,32.617500,33.427502,31.655001,33.154999,33.154999,608000
2013-09-30,32.207500,34.040001,32.092499,33.619999,33.619999,810000
2013-10-07,33.020000,33.165001,27.020000,29.912500,29.912500,2688000
2013-10-14,29.197500,32.882500,28.934999,31.647499,31.647499,1544000
2013-10-21,31.674999,33.337502,30.287500,33.084999,33.084999,1484400
2013-10-28,33.090000,33.500000,30.692499,31.247499,31.247499,934800
2013-11-04,31.702499,32.037498,28.650000,30.552500,30.552500,1420800
2013-11-11,31.047501,33.115002,30.402500,33.057499,33.057499,874000
2013-11-18,33.125000,35.869999,31.502501,35.700001,35.700001,965600
2013-11-25,36.564999,37.125000,35.797501,37.049999,37.049999,718800
2013-12-02,37.115002,37.400002,34.634998,36.332500,36.332500,939600
2013-12-09,36.997501,36.997501,33.322498,34.154999,34.154999,1170400
2013-12-16,34.189999,36.775002,33.187500,36.750000,36.750000,1076000
2013-12-23,37.305000,38.000000,36.787498,37.227501,37.227501,770400
2013-12-30,37.154999,37.990002,36.737499,37.292500,37.292500,494800
2014-01-06,37.387501,41.680000,36.160000,41.680000,41.680000,1376400
2014-01-13,42.977501,45.497501,39.939999,44.794998,44.794998,2286800
2014-01-20,46.375000,47.250000,43.384998,43.494999,43.494999,2306600
2014-01-27,43.105000,46.000000,39.669998,44.025002,44.025002,4392400
2014-02-03,44.180000,44.410000,39.330002,43.955002,43.955002,3068400
2014-02-10,44.619999,49.360001,43.875000,48.125000,48.125000,3427600
2014-02-17,48.860001,53.119999,48.785000,52.299999,52.299999,2099200
2014-02-24,53.209999,54.869999,49.025002,50.424999,50.424999,3873400
2014-03-03,48.325001,52.900002,46.654999,48.525002,48.525002,4490200
2014-03-10,48.424999,50.000000,45.555000,46.415001,46.415001,2666400
2014-03-17,47.590000,50.119999,43.380001,43.639999,43.639999,3712600
2014-03-24,43.584999,44.000000,37.415001,37.709999,37.709999,6563800
2014-03-31,38.070000,43.099998,35.700001,36.330002,36.330002,5600800
2014-04-07,35.799999,39.430000,32.875000,32.935001,32.935001,6411800
2014-04-14,33.790001,36.299999,30.445000,34.910000,34.910000,5736400
2014-04-21,35.215000,39.450001,34.685001,35.439999,35.439999,5166600
2014-04-28,36.075001,38.930000,33.340000,37.020000,37.020000,4715600
2014-05-05,35.959999,38.480000,34.130001,36.084999,36.084999,3449200
2014-05-12,36.715000,38.529999,35.705002,36.665001,36.665001,2608400
2014-05-19,36.430000,39.180000,36.240002,38.740002,38.740002,2043000
2014-05-26,39.500000,41.240002,39.349998,40.384998,40.384998,1790200
2014-06-02,40.595001,42.764999,39.255001,42.525002,42.525002,1902800
2014-06-09,43.000000,44.119999,42.250000,43.070000,43.070000,2170200
2014-06-16,42.654999,45.830002,42.564999,45.759998,45.759998,1844400
2014-06-23,45.820000,47.345001,44.750000,46.299999,46.299999,2353800
2014-06-30,46.480000,49.900002,46.055000,49.665001,49.665001,1740400
2014-07-07,49.625000,49.634998,44.040001,46.380001,46.380001,3145600
2014-07-14,47.419998,47.419998,41.185001,43.959999,43.959999,2800600
2014-07-21,43.540001,47.494999,42.900002,45.250000,45.250000,1929600
2014-07-28,45.075001,47.549999,42.830002,43.785000,43.785000,2572000
2014-08-04,44.375000,45.110001,42.755001,44.165001,44.165001,1484400
2014-08-11,45.000000,48.709999,43.965000,48.400002,48.400002,1952000
2014-08-18,49.200001,50.340000,48.275002,49.349998,49.349998,2814600
2014-08-25,50.544998,53.400002,50.400002,53.250000,53.250000,1899600
2014-09-01,53.990002,54.160000,49.150002,51.005001,51.005001,1649200
2014-09-08,50.465000,52.520000,50.090000,50.599998,50.599998,1425600
2014-09-15,50.264999,53.455002,48.345001,52.650002,52.650002,2067200
2014-09-22,52.500000,54.500000,50.709999,53.090000,53.090000,2121400
2014-09-29,51.910000,53.630001,48.654999,52.575001,52.575001,2623800
2014-10-06,53.105000,53.389999,47.645000,47.645000,47.645000,3005800
2014-10-13,47.764999,49.654999,42.500000,48.685001,48.685001,3918800
2014-10-20,48.849998,57.564999,48.674999,57.535000,57.535000,3705800
2014-10-27,57.700001,63.270000,56.145000,60.665001,60.665001,3316000
2014-11-03,60.615002,61.634998,56.625000,58.060001,58.060001,2803600
2014-11-10,58.689999,61.250000,56.299999,57.180000,57.180000,2397800
2014-11-17,56.895000,61.299999,56.775002,59.680000,59.680000,1455800
2014-11-24,60.270000,64.839996,60.130001,63.875000,63.875000,1595000
2014-12-01,63.000000,65.625000,61.669998,65.500000,65.500000,1872200
2014-12-08,65.510002,68.839996,64.150002,64.415001,64.415001,2600800
2014-12-15,64.754997,69.605003,58.820000,68.879997,68.879997,3809800
2014-12-22,67.345001,67.345001,58.169998,64.110001,64.110001,4563800
2014-12-29,64.644997,65.150002,62.639999,63.910000,63.910000,1696200
2015-01-05,62.750000,68.125000,60.395000,66.690002,66.690002,1862400
2015-01-12,67.605003,70.629997,64.099998,68.529999,68.529999,1839700
2015-01-19,69.699997,71.065002,65.625000,70.519997,70.519997,1416500
